"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/14/2017","-","5/14/2018","8/13/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","43.5","38.3","36.6","41.0"
"0","Cost of Revenue","12.6","11.9","10.0","11.1"
"0","Gross Profit","30.9","26.4","26.6","29.9"
"0","Selling,General and Administrative","18.8","15.9","18.2","19.0"
"1","General and Administrative Expense","6.0","4.3","5.4","6.3"
"1","Selling and Marketing Expense","12.8","11.6","12.8","12.7"
"0","Research and Development","3.4","3.9","3.7","3.9"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","22.8","20.6","22.6","23.6"
"0","Operating Income","8.1","5.8","4.0","6.3"
"0","Net Interest Income","-1.3","-1.0","-0.8","-0.9"
"0","Other Income/Expense,Net","-","-","-0.1","0.1"
"0","Pre-Tax Income","6.9","0.1","3.1","5.5"
"0","Provision for Income Tax","0.4","-30.2","0.5","1.0"
"0","Net Income","6.5","30.3","2.6","4.4"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.05","0.40","0.27","0.27"
"0","Basic EPS","0.14","0.65","0.06","0.09"
"1","Basic Weighted Average Shares","46.46","46.72","46.90","47.17"
"1","Basic EPS from Continuing Operations","0.14","0.65","0.06","0.09"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.14","0.64","0.05","0.09"
"1","Diluted Weighted Average Shares","47.63","47.81","48.07","48.39"
"1","Diluted EPS from Continuing Operations","0.14","0.64","0.05","0.09"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
