"0","Period End Date","11/1/2014","10/31/2015","10/29/2016","10/28/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","11/22/2016","11/22/2017","11/22/2017","11/22/2017"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","629.3","696.9","861.7","727.3"
"0","Operating Gains/Losses","-","-","3.3","-"
"1","Gain/Loss on Investment Securities","-","-","-","-"
"0","Depreciation,Amortization and Depletion","142.0","222.2","209.8","584.1"
"0","Deferred Taxes","-77.7","-52.2","8.1","-825.9"
"0","Other Non-Cash Items","4.4","7.0","24.6","347.9"
"1","Asset Impairment Charge","-","-","-","-"
"1","Stock-Based Compensation","50.8","68.9","63.4","104.2"
"1","Excess Tax Benefit from Stock-Based Compensation","-22.2","-25.0","-10.5","-41.8"
"0","Change in Receivables","-36.5","-71.2","-9.4","-65.7"
"0","Change in Inventories","24.6","-35.6","38.2","-47.4"
"0","Change in Pay/Accrued Exp","154.9","81.7","95.5","311.9"
"1","Change in Payables","154.9","81.7","95.5","311.9"
"2","Change In Account Payable","58.4","56.6","85.5","192.2"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-3.2","7.7","6.1","17.2"
"0","Cash Flow from Operating Activities","871.6","907.8","1,280.9","1,112.6"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-177.9","-154.0","-127.4","-204.1"
"1","Purchase of Property,Plant and Equipment","-177.9","-154.0","-127.4","-204.1"
"0","Purchase/Sale of Business,Net","-1,945.9","-7.1","-83.2","-9,632.6"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","2,021.1","152.2","-989.2","3,234.5"
"1","Purchase of Investments","-7,485.2","-6,084.0","-7,697.3","-705.5"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","9,506.3","6,236.2","6,708.1","3,940.0"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-12.1","-8.3","-18.5","-15.8"
"0","Cash Flow from Investing Activities","-114.8","-17.1","-1,218.3","-6,618.0"
"0","Issuance/Payments of Debt,Net","0.0","0.0","857.2","6,106.2"
"1","Issuance/Payments of LT Debt,Net","0.0","0.0","857.2","6,106.2"
"2","Payments to Settle Long Term Debt","-1,995.4","0.0","-378.2","-5,050.0"
"0","Issuance/Payments of Common Stock,Net","-156.2","-104.3","-308.6","86.8"
"1","Proceeds or Issuance of Long Term Debt","1,995.4","0.0","1,235.3","11,156.2"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-356.3","-227.0","-370.1","-46.5"
"1","Proceeds or Issuance of Common Stock","200.1","122.6","61.5","133.3"
"0","Cash Dividends Paid","-454.2","-491.1","-513.2","-602.1"
"1","Common Stock Dividends Paid","-454.2","-491.1","-513.2","-602.1"
"0","Other Financing Changes, Net","33.8","23.8","-58.3","37.8"
"0","Cash Flow from Financing Activities","-576.6","-571.6","-22.9","5,628.6"
"0","Cash, Equivalents, Start of Period","392.1","569.2","884.4","921.1"
"0","Cash, Equivalents, End of Period","569.2","884.4","921.1","1,047.8"
"0","Change in Cash","180.2","319.1","39.7","123.2"
"0","Free Cash Flow","693.7","753.8","1,153.5","908.5"
"0","Effect of Exchange Rate Changes","-3.1","-4.0","-2.9","3.6"
