"0","Period End Date","9/30/2014","9/30/2015","9/30/2016","9/30/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","12/13/2016","12/14/2017","12/14/2017","12/14/2017"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","35.9","43.7","38.7","48.7"
"0","Cost of Revenue","24.3","28.4","26.2","33.9"
"0","Gross Profit","11.6","15.3","12.4","14.8"
"0","Selling,General and Administrative","10.5","12.7","12.1","14.7"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","0.0","0.5","0.0"
"0","Operating Expenses","10.5","12.7","12.1","14.7"
"0","Operating Income","1.1","2.6","0.3","0.1"
"0","Net Interest Income","-0.2","-0.3","-0.1","-0.4"
"0","Other Income/Expense,Net","-","-","0.3","-"
"0","Pre-Tax Income","0.9","2.3","0.5","-0.2"
"0","Provision for Income Tax","0.2","0.8","0.2","-0.1"
"0","Net Income","0.0","1.5","0.3","-0.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.25","0.34","0.38","0.40"
"0","Basic EPS","0.00","0.15","0.03","-0.01"
"1","Basic Weighted Average Shares","10.02","10.09","10.14","10.20"
"1","Basic EPS from Continuing Operations","0.07","0.15","0.03","-0.01"
"1","Basic EPS,Continuing and Discontinued","-0.07","0.00","0.00","0.00"
"0","Diluted EPS","0.00","0.15","0.03","-0.01"
"1","Diluted Weighted Average Shares","10.05","10.09","10.15","10.20"
"1","Diluted EPS from Continuing Operations","0.07","0.15","0.03","-0.01"
"1","Diluted EPS,Continuing and Discontinued","-0.07","0.00","0.00","0.00"
