"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","3/16/2017","3/28/2018","3/28/2018","3/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.0","0.5","0.9","0.9"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","13.7","18.2","13.9","13.3"
"1","General and Administrative Expense","9.8","11.3","7.1","8.2"
"1","Selling and Marketing Expense","3.9","6.9","6.7","5.1"
"0","Research and Development","23.7","17.2","16.5","10.7"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","37.4","35.4","30.4","24.0"
"0","Operating Income","-37.4","-34.9","-29.5","-23.1"
"0","Net Interest Income","20.3","-15.3","4.5","2.8"
"0","Other Income/Expense,Net","-","-","-","-"
"0","Pre-Tax Income","-17.1","-50.2","-25.0","-20.3"
"0","Provision for Income Tax","0.1","-","-","-3.5"
"0","Net Income","-16.6","-50.1","-25.0","-16.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.17"
"0","Basic EPS","-28.06","-18.14","-2.41","-1.12"
"1","Basic Weighted Average Shares","0.59","2.76","10.35","14.96"
"1","Basic EPS from Continuing Operations","-29.12","-18.17","-2.41","-1.12"
"1","Basic EPS,Continuing and Discontinued","1.06","0.03","0.00","0.00"
"0","Diluted EPS","-28.06","-18.14","-2.41","-1.12"
"1","Diluted Weighted Average Shares","0.59","2.76","10.35","14.96"
"1","Diluted EPS from Continuing Operations","-29.12","-18.17","-2.41","-1.12"
"1","Diluted EPS,Continuing and Discontinued","1.06","0.03","0.00","0.00"
