"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q/A","NA","10-Q","10-Q"
"0","Stmt Source Date","7/13/2018","-","7/13/2018","8/14/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.7","0.9","0.3","0.5"
"0","Cost of Revenue","0.3","1.5","0.3","0.3"
"0","Gross Profit","0.4","-0.6","0.0","0.2"
"0","Selling,General and Administrative","1.2","2.3","1.4","2.0"
"1","General and Administrative Expense","0.8","1.6","0.9","1.6"
"1","Selling and Marketing Expense","0.4","0.7","0.5","0.5"
"0","Research and Development","0.3","0.3","0.4","0.3"
"0","Special Income/Charges","0.0","0.0","-","-"
"0","Operating Expenses","1.5","2.7","1.9","2.3"
"0","Operating Income","-1.2","-3.3","-1.9","-2.1"
"0","Net Interest Income","0.0","0.0","0.0","0.0"
"0","Other Income/Expense,Net","0.0","-0.8","0.0","0.0"
"0","Pre-Tax Income","-1.2","-4.0","-1.9","-2.1"
"0","Provision for Income Tax","0.0","0.0","0.0","0.0"
"0","Net Income","-1.2","-4.0","-1.9","-2.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.13","-0.38","-0.03","-0.02"
"1","Basic Weighted Average Shares","8.89","13.17","71.32","93.25"
"1","Basic EPS from Continuing Operations","-0.13","-0.38","-0.03","-0.02"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-0.13","-0.38","-0.03","-0.02"
"1","Diluted Weighted Average Shares","8.89","13.17","71.32","93.25"
"1","Diluted EPS from Continuing Operations","-0.13","-0.38","-0.03","-0.02"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
