"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","12/1/2017","-","5/14/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","84.9","89.9","91.7","95.6"
"0","Cost of Revenue","26.3","26.6","29.0","29.5"
"0","Gross Profit","58.6","63.3","62.7","66.1"
"0","Selling,General and Administrative","51.5","42.8","36.0","37.6"
"1","General and Administrative Expense","29.2","21.5","17.0","17.4"
"1","Selling and Marketing Expense","22.3","21.3","19.0","20.2"
"0","Research and Development","27.6","24.0","22.7","24.7"
"0","Special Income/Charges","0.7","3.7","-","-"
"0","Operating Expenses","80.3","69.0","58.4","63.9"
"0","Operating Income","-21.7","-5.7","4.3","2.2"
"0","Net Interest Income","-0.6","-0.4","0.0","0.0"
"0","Other Income/Expense,Net","0.7","2.4","0.9","0.2"
"0","Pre-Tax Income","-21.6","-3.7","5.2","2.3"
"0","Provision for Income Tax","8.0","56.6","1.2","0.8"
"0","Net Income","-29.6","-60.3","3.9","1.5"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.31","0.40","0.27","0.27"
"0","Basic EPS","-","-0.95","0.06","0.02"
"1","Basic Weighted Average Shares","60.39","63.23","63.64","65.58"
"1","Basic EPS from Continuing Operations","-","-0.95","0.06","0.02"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-","-0.95","0.05","0.02"
"1","Diluted Weighted Average Shares","60.39","63.23","72.39","73.39"
"1","Diluted EPS from Continuing Operations","-","-0.95","0.05","0.02"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
