"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","10-Q","NA","10-Q"
"0","Stmt Source Date","11/7/2017","2/5/2018","-","7/31/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","11.0","14.9","13.5","12.6"
"0","Cost of Revenue","10.8","9.9","10.5","8.7"
"0","Gross Profit","0.3","5.0","3.0","3.9"
"0","Selling,General and Administrative","5.3","5.5","5.6","5.8"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","3.0","3.0","2.9","2.8"
"0","Special Income/Charges","0.4","-0.6","2.3","-0.3"
"0","Operating Expenses","8.3","8.6","8.6","8.7"
"0","Operating Income","-8.0","-3.6","-5.6","-4.8"
"0","Net Interest Income","0.1","0.0","0.1","0.2"
"0","Other Income/Expense,Net","0.5","-0.2","-1.1","-0.2"
"0","Pre-Tax Income","-7.5","-3.7","-6.7","-4.8"
"0","Provision for Income Tax","-0.2","0.6","-0.7","0.0"
"0","Net Income","-7.3","-4.2","-6.0","-4.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.02","0.00","0.01"
"0","Basic EPS","-0.38","-0.21","-0.29","-0.23"
"1","Basic Weighted Average Shares","19.06","19.95","20.03","20.17"
"1","Basic EPS from Continuing Operations","-0.38","-0.21","-0.29","-0.23"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.38","-0.21","-0.29","-0.23"
"1","Diluted Weighted Average Shares","19.06","19.95","20.03","20.17"
"1","Diluted EPS from Continuing Operations","-0.38","-0.21","-0.29","-0.23"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
