"0","Period End Date","4/30/2015","4/30/2016","4/30/2017","4/30/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","6/29/2017","6/20/2018","6/20/2018","6/20/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","551.9","722.9","903.2","606.9"
"0","Cost of Revenue","356.9","429.1","527.9","411.1"
"0","Gross Profit","194.9","293.8","375.3","195.8"
"0","Selling,General and Administrative","98.4","125.2","165.1","157.3"
"1","General and Administrative Expense","62.3","82.9","115.8","101.5"
"1","Selling and Marketing Expense","36.0","42.3","49.3","55.8"
"0","Research and Development","6.9","10.0","10.2","11.4"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","105.3","135.2","175.3","168.7"
"0","Operating Income","89.6","158.6","199.9","27.0"
"0","Net Interest Income","-10.9","-13.5","-8.6","-11.2"
"0","Other Income/Expense,Net","0.0","0.0","-0.1","1.7"
"0","Pre-Tax Income","78.7","145.1","191.3","17.6"
"0","Provision for Income Tax","28.9","51.1","63.5","-2.5"
"0","Net Income","49.6","94.0","127.9","20.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.37","0.35","0.33","0.14"
"0","Basic EPS","0.92","1.72","2.29","0.37"
"1","Basic Weighted Average Shares","53.99","54.77","55.93","54.06"
"1","Basic EPS from Continuing Operations","0.92","1.72","2.29","0.37"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","0.90","1.68","2.25","0.37"
"1","Diluted Weighted Average Shares","55.23","55.97","56.89","54.83"
"1","Diluted EPS from Continuing Operations","0.90","1.68","2.25","0.37"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
