"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/16/2017","2/22/2018","2/22/2018","2/22/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,078.9","1,051.5","997.3","942.2"
"0","Cost of Revenue","707.2","687.3","690.0","699.9"
"0","Gross Profit","371.7","364.1","307.3","242.3"
"0","Selling,General and Administrative","156.5","145.5","144.1","124.1"
"1","General and Administrative Expense","132.4","118.0","116.2","107.9"
"1","Selling and Marketing Expense","24.1","27.5","27.8","16.2"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.5","-84.7","-37.0","-16.3"
"0","Operating Expenses","201.7","196.4","201.7","168.7"
"0","Operating Income","170.0","167.7","105.6","73.7"
"0","Net Interest Income","-23.3","-28.1","-24.3","-22.0"
"0","Other Income/Expense,Net","0.5","-86.6","-37.0","-16.3"
"0","Pre-Tax Income","147.3","53.1","44.3","35.4"
"0","Provision for Income Tax","10.2","8.3","12.9","-276.3"
"0","Net Income","134.5","41.6","28.7","308.9"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.07","0.16","0.29","0.40"
"0","Basic EPS","6.22","2.13","1.53","16.99"
"1","Basic Weighted Average Shares","21.63","19.50","18.70","18.18"
"1","Basic EPS from Continuing Operations","6.22","2.13","1.53","16.99"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","5.69","2.02","1.46","16.53"
"1","Diluted Weighted Average Shares","23.63","20.62","19.61","18.69"
"1","Diluted EPS from Continuing Operations","5.69","2.02","1.46","16.53"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
