"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","10/26/2017","-","4/24/2018","7/24/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","39.2","41.4","42.4","43.5"
"0","Cost of Revenue","14.6","15.3","15.3","16.4"
"0","Gross Profit","24.6","26.1","27.2","27.1"
"0","Selling,General and Administrative","14.3","14.8","15.6","15.1"
"1","General and Administrative Expense","2.2","2.4","2.6","2.7"
"1","Selling and Marketing Expense","12.2","12.4","13.0","12.4"
"0","Research and Development","7.7","8.1","8.6","8.7"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","22.0","22.9","24.2","23.8"
"0","Operating Income","2.6","3.2","3.0","3.3"
"0","Net Interest Income","0.1","0.0","0.2","0.0"
"0","Other Income/Expense,Net","-","-","-","-"
"0","Pre-Tax Income","2.7","3.2","3.2","3.3"
"0","Provision for Income Tax","1.6","2.6","0.8","0.9"
"0","Net Income","1.0","0.7","2.4","2.4"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.24","0.24","0.23","0.23"
"0","Basic EPS","0.03","0.02","0.08","0.08"
"1","Basic Weighted Average Shares","30.92","29.91","29.16","28.61"
"1","Basic EPS from Continuing Operations","0.03","0.02","0.08","0.08"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.03","0.02","0.08","0.08"
"1","Diluted Weighted Average Shares","31.96","31.07","30.35","29.73"
"1","Diluted EPS from Continuing Operations","0.03","0.02","0.08","0.08"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
