"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/9/2017","3/8/2018","3/8/2018","3/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","202.6","166.9","158.6","192.8"
"0","Cost of Revenue","141.1","131.3","119.9","133.4"
"0","Gross Profit","61.4","35.6","38.7","59.4"
"0","Selling,General and Administrative","41.9","39.7","38.7","45.7"
"1","General and Administrative Expense","23.8","21.0","22.1","27.1"
"1","Selling and Marketing Expense","18.1","18.7","16.6","18.6"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-7.1","-16.2","-0.6","-23.2"
"0","Operating Expenses","48.0","43.8","42.8","49.8"
"0","Operating Income","13.4","-8.2","-4.1","9.6"
"0","Net Interest Income","-0.5","-1.7","-1.1","-1.6"
"0","Other Income/Expense,Net","-7.1","-16.2","-0.6","-23.2"
"0","Pre-Tax Income","5.8","-26.1","-5.7","-15.3"
"0","Provision for Income Tax","3.9","-2.1","0.8","3.6"
"0","Net Income","2.6","-24.0","-6.5","-18.9"
"0","Dividend Per Share","0.16","0.14","0.08","0.08"
"0","Tax Rate","0.35","0.08","0.14","0.23"
"0","Basic EPS","0.18","-1.72","-0.46","-1.31"
"1","Basic Weighted Average Shares","13.69","13.94","14.13","14.35"
"1","Basic EPS from Continuing Operations","0.13","-1.72","-0.46","-1.31"
"1","Basic EPS,Continuing and Discontinued","0.05","0.00","0.00","0.00"
"0","Diluted EPS","0.18","-1.72","-0.46","-1.31"
"1","Diluted Weighted Average Shares","13.69","13.94","14.13","14.35"
"1","Diluted EPS from Continuing Operations","0.13","-1.72","-0.46","-1.31"
"1","Diluted EPS,Continuing and Discontinued","0.05","0.00","0.00","0.00"
