"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/10/2017","3/15/2018","3/15/2018","3/15/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3.2","3.8","0.1","0.9"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","6.2","7.8","9.2","11.9"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","15.1","21.2","49.3","48.5"
"0","Special Income/Charges","0.1","0.1","0.7","1.2"
"0","Operating Expenses","21.2","29.0","58.5","60.4"
"0","Operating Income","-18.1","-25.2","-58.4","-59.5"
"0","Net Interest Income","-","-","-","-"
"0","Other Income/Expense,Net","0.1","0.1","0.7","1.2"
"0","Pre-Tax Income","-17.9","-25.1","-57.7","-58.3"
"0","Provision for Income Tax","-0.2","-0.4","-0.5","-0.2"
"0","Net Income","-17.7","-24.7","-57.3","-58.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.01","0.02","0.00","0.00"
"0","Basic EPS","-0.85","-1.00","-2.10","-1.86"
"1","Basic Weighted Average Shares","20.97","24.62","27.28","31.20"
"1","Basic EPS from Continuing Operations","-0.85","-1.00","-2.10","-1.86"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-0.85","-1.00","-2.10","-1.86"
"1","Diluted Weighted Average Shares","20.97","24.62","27.28","31.20"
"1","Diluted EPS from Continuing Operations","-0.85","-1.00","-2.10","-1.86"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
