"0","Period End Date","9/30/2014","9/30/2015","9/30/2016","9/30/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","11/16/2016","11/15/2017","11/15/2017","11/15/2017"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","50.8","56.1","59.8","87.0"
"0","Operating Gains/Losses","0.9","1.4","-1.0","-1.4"
"1","Gain/Loss on Investment Securities","-","-","-","-"
"0","Depreciation,Amortization and Depletion","19.9","18.7","26.0","25.9"
"0","Deferred Taxes","-0.7","0.9","-1.8","0.4"
"0","Other Non-Cash Items","-0.7","-0.5","0.8","0.2"
"1","Asset Impairment Charge","2.3","0.0","1.1","0.9"
"1","Stock-Based Compensation","14.0","16.4","13.8","13.0"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-8.2","9.0","-8.0","-4.0"
"0","Change in Inventories","-3.8","-8.3","3.4","-1.2"
"0","Change in Pay/Accrued Exp","-7.5","8.2","-3.4","22.2"
"1","Change in Payables","-0.9","0.8","-0.5","0.9"
"2","Change In Account Payable","-0.9","0.8","-0.5","0.9"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-","-","-","-"
"0","Cash Flow from Operating Activities","67.5","98.2","95.2","141.4"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-12.3","-13.6","-17.7","-20.0"
"1","Purchase of Property,Plant and Equipment","-12.6","-13.8","-17.7","-21.2"
"0","Purchase/Sale of Business,Net","0.0","0.0","-127.0","0.0"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","2.3","0.2","0.2","0.2"
"1","Purchase of Investments","-","-","-","-"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","2.3","0.2","0.2","0.2"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","1.1","-","-","-"
"0","Cash Flow from Investing Activities","-9.0","-13.4","-144.4","-19.8"
"0","Issuance/Payments of Debt,Net","10.9","-8.8","-8.8","-10.9"
"1","Issuance/Payments of LT Debt,Net","10.9","-8.8","-8.8","-10.9"
"2","Payments to Settle Long Term Debt","-6.6","-8.8","-8.8","-10.9"
"0","Issuance/Payments of Common Stock,Net","-12.0","-6.5","-9.3","16.4"
"1","Proceeds or Issuance of Long Term Debt","17.5","-","-","-"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-55.1","-42.2","-28.8","-14.2"
"1","Proceeds or Issuance of Common Stock","43.1","35.8","19.5","30.6"
"0","Cash Dividends Paid","0.0","0.0","-8.7","-19.0"
"1","Common Stock Dividends Paid","0.0","0.0","-8.7","-19.0"
"0","Other Financing Changes, Net","2.3","6.2","2.3","6.6"
"0","Cash Flow from Financing Activities","1.2","-9.0","-24.4","-7.0"
"0","Cash, Equivalents, Start of Period","226.0","284.2","354.2","287.5"
"0","Cash, Equivalents, End of Period","284.2","354.2","287.5","397.9"
"0","Change in Cash","59.7","75.8","-73.6","114.6"
"0","Free Cash Flow","54.9","84.4","77.5","120.2"
"0","Effect of Exchange Rate Changes","-1.6","-5.7","6.9","-4.2"
