"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/23/2017","2/21/2018","2/21/2018","2/21/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","914.0","847.3","704.4","596.4"
"0","Cost of Revenue","323.3","289.8","235.1","143.3"
"0","Gross Profit","590.7","557.5","469.3","453.1"
"0","Selling,General and Administrative","640.5","564.2","477.7","405.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-36.1","-62.7","-0.9","0.7"
"0","Operating Expenses","693.8","589.1","500.5","419.0"
"0","Operating Income","-103.1","-31.7","-31.2","34.1"
"0","Net Interest Income","0.4","0.0","0.7","1.4"
"0","Other Income/Expense,Net","-36.1","-62.7","-0.9","0.7"
"0","Pre-Tax Income","-138.8","-94.4","-31.4","36.3"
"0","Provision for Income Tax","3.7","-147.5","-16.6","67.1"
"0","Net Income","-178.2","51.9","-18.7","-31.9"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.05","0.40","0.40","0.40"
"0","Basic EPS","-2.65","0.76","-0.27","-0.46"
"1","Basic Weighted Average Shares","67.17","67.86","68.37","68.95"
"1","Basic EPS from Continuing Operations","-2.12","0.78","-0.22","-0.45"
"1","Basic EPS,Continuing and Discontinued","-0.53","-0.02","-0.05","-0.01"
"0","Diluted EPS","-2.65","0.76","-0.27","-0.46"
"1","Diluted Weighted Average Shares","67.17","68.33","68.37","68.95"
"1","Diluted EPS from Continuing Operations","-2.12","0.78","-0.22","-0.45"
"1","Diluted EPS,Continuing and Discontinued","-0.53","-0.02","-0.06","-0.01"
