"0","Period End Date","12/31/2014","1/2/2016","12/31/2016","12/30/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/10/2017","2/12/2018","2/12/2018","2/12/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3,402.7","4,425.3","4,796.5","5,142.3"
"0","Cost of Revenue","604.4","750.8","779.1","854.1"
"0","Gross Profit","2,798.3","3,674.5","4,017.4","4,288.2"
"0","Selling,General and Administrative","1,629.0","2,262.0","2,464.4","2,632.1"
"1","General and Administrative Expense","233.4","423.4","392.5","355.3"
"1","Selling and Marketing Expense","1,395.6","1,838.6","2,071.9","2,276.8"
"0","Research and Development","392.8","539.8","551.4","605.0"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","2,035.2","2,893.4","3,106.3","3,327.7"
"0","Operating Income","763.1","781.1","911.0","960.5"
"0","Net Interest Income","12.3","0.2","10.8","10.9"
"0","Other Income/Expense,Net","-1.3","0.1","-3.4","-4.3"
"0","Pre-Tax Income","774.2","781.4","918.4","967.1"
"0","Provision for Income Tax","248.7","242.0","282.0","100.2"
"0","Net Income","525.4","539.4","636.5","867.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.32","0.31","0.31","0.10"
"0","Basic EPS","1.54","1.57","1.88","2.62"
"1","Basic Weighted Average Shares","342.15","343.18","337.74","331.37"
"1","Basic EPS from Continuing Operations","1.54","1.57","1.88","2.62"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","1.50","1.54","1.85","2.57"
"1","Diluted Weighted Average Shares","350.39","350.91","343.65","338.00"
"1","Diluted EPS from Continuing Operations","1.50","1.54","1.85","2.57"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
