"0","Period End Date","7/29/2017","10/28/2017","2/3/2018","5/5/2018"
"0","Stmt Source","10-Q","10-Q","NA","10-Q"
"0","Stmt Source Date","9/7/2017","12/7/2017","-","6/14/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","14.0","11.0","-6.7","5.4"
"0","Cost of Revenue","4.8","2.3","-","-"
"0","Gross Profit","9.1","8.7","3.4","5.4"
"0","Selling,General and Administrative","9.9","10.2","-0.6","4.7"
"1","General and Administrative Expense","9.9","10.2","-0.6","4.7"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","0.0","-9.5","-0.3"
"0","Operating Expenses","10.1","10.4","35.6","5.3"
"0","Operating Income","-1.0","-1.7","-32.2","0.1"
"0","Net Interest Income","-1.6","-1.7","-1.7","-1.7"
"0","Other Income/Expense,Net","0.0","0.0","-9.2","-0.3"
"0","Pre-Tax Income","-2.6","-3.4","-43.1","-1.9"
"0","Provision for Income Tax","2.0","-0.9","2.4","0.8"
"0","Net Income","-4.6","-2.5","-45.6","-2.7"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.14","0.10","0.06","0.09"
"0","Basic EPS","-0.36","-0.18","-3.38","-0.20"
"1","Basic Weighted Average Shares","12.99","13.79","13.99","14.00"
"1","Basic EPS from Continuing Operations","-0.36","-0.18","-3.37","-0.20"
"1","Basic EPS,Continuing and Discontinued","-","-","-","0.00"
"0","Diluted EPS","-0.36","-0.18","-3.38","-0.20"
"1","Diluted Weighted Average Shares","12.99","13.79","13.99","14.00"
"1","Diluted EPS from Continuing Operations","-0.36","-0.18","-3.37","-0.20"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","0.00"
