"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/2/2017","-","4/26/2018","8/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","190.1","222.6","202.1","212.8"
"0","Cost of Revenue","87.6","98.6","92.5","96.5"
"0","Gross Profit","102.5","124.0","109.6","116.3"
"0","Selling,General and Administrative","80.8","92.4","84.6","89.6"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","8.3","8.4","7.7","10.0"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","89.1","100.8","92.3","99.6"
"0","Operating Income","13.5","23.2","17.3","16.7"
"0","Net Interest Income","-4.8","-4.9","-4.8","-5.1"
"0","Other Income/Expense,Net","-","-","-","-"
"0","Pre-Tax Income","8.7","18.3","12.5","11.6"
"0","Provision for Income Tax","1.5","-28.4","1.8","2.9"
"0","Net Income","7.2","46.7","10.7","8.7"
"0","Dividend Per Share","0.20","0.20","0.20","0.20"
"0","Tax Rate","0.19","0.40","0.27","0.27"
"0","Basic EPS","0.26","1.68","0.38","0.31"
"1","Basic Weighted Average Shares","27.92","28.01","28.01","28.08"
"1","Basic EPS from Continuing Operations","0.26","1.68","0.38","0.31"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.26","1.66","0.37","0.30"
"1","Diluted Weighted Average Shares","28.18","28.31","28.57","28.85"
"1","Diluted EPS from Continuing Operations","0.26","1.66","0.37","0.30"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
