"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","4/27/2017","4/27/2018","4/27/2018","4/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","98.3","63.7","61.0","46.8"
"0","Cost of Revenue","89.3","57.8","48.5","37.0"
"0","Gross Profit","9.0","5.8","12.5","9.8"
"0","Selling,General and Administrative","15.9","8.4","8.0","5.1"
"1","General and Administrative Expense","6.6","7.0","3.7","3.9"
"1","Selling and Marketing Expense","9.3","1.3","4.3","1.3"
"0","Research and Development","7.2","8.1","6.6","4.2"
"0","Special Income/Charges","-2.1","-1.1","-1.3","-6.2"
"0","Operating Expenses","23.0","16.3","14.6","9.2"
"0","Operating Income","-14.0","-10.4","-2.1","0.6"
"0","Net Interest Income","1.2","-1.0","-1.6","-1.9"
"0","Other Income/Expense,Net","-2.3","-1.3","13.5","-12.8"
"0","Pre-Tax Income","-15.2","-12.7","9.8","-14.1"
"0","Provision for Income Tax","0.4","1.0","0.0","0.0"
"0","Net Income","-13.4","-12.8","10.1","-9.3"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.03","0.08","0.00","0.00"
"0","Basic EPS","-1.50","-1.50","0.75","-0.75"
"1","Basic Weighted Average Shares","10.59","10.59","10.59","10.59"
"1","Basic EPS from Continuing Operations","-1.50","-1.50","0.75","-0.75"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-1.50","-1.50","0.75","-0.75"
"1","Diluted Weighted Average Shares","10.59","10.59","10.59","10.59"
"1","Diluted EPS from Continuing Operations","-1.50","-1.50","0.75","-0.75"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
