"0","Period End Date","4/30/2015","4/30/2016","4/30/2017","4/30/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","6/13/2017","6/14/2018","6/14/2018","6/14/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","472.6","506.5","520.1","537.5"
"0","Cost of Revenue","272.4","304.9","304.9","315.3"
"0","Gross Profit","200.1","201.6","215.2","222.3"
"0","Selling,General and Administrative","83.8","92.2","91.9","99.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","-0.4","-1.2","-0.1"
"0","Operating Expenses","207.9","240.8","245.3","252.3"
"0","Operating Income","-7.8","-39.2","-30.1","-30.1"
"0","Net Interest Income","54.8","58.1","63.5","69.1"
"0","Other Income/Expense,Net","0.0","-0.4","-1.2","-0.1"
"0","Pre-Tax Income","47.0","18.5","32.2","38.9"
"0","Provision for Income Tax","17.5","6.9","12.0","2.4"
"0","Net Income","29.5","11.6","20.2","36.5"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.37","0.37","0.37","0.06"
"0","Basic EPS","3.42","1.38","2.57","5.04"
"1","Basic Weighted Average Shares","8.62","8.37","7.85","7.23"
"1","Basic EPS from Continuing Operations","3.42","1.38","2.57","5.04"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","3.25","1.33","2.49","4.90"
"1","Diluted Weighted Average Shares","9.05","8.67","8.11","7.44"
"1","Diluted EPS from Continuing Operations","3.25","1.33","2.49","4.90"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
