"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","11/1/2017","-","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","154.7","148.1","136.1","149.2"
"0","Cost of Revenue","105.0","101.8","101.8","100.9"
"0","Gross Profit","49.7","46.3","34.2","48.3"
"0","Selling,General and Administrative","37.6","50.0","29.6","31.5"
"1","General and Administrative Expense","17.0","29.6","11.2","11.2"
"1","Selling and Marketing Expense","20.6","20.4","18.4","20.2"
"0","Research and Development","1.1","1.3","0.8","0.9"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","38.7","51.3","32.8","35.1"
"0","Operating Income","11.0","-4.9","1.4","13.3"
"0","Net Interest Income","-1.6","-0.8","0.5","-0.5"
"0","Other Income/Expense,Net","-","-","-","-"
"0","Pre-Tax Income","9.4","-6.0","2.0","12.7"
"0","Provision for Income Tax","2.0","0.0","0.5","1.7"
"0","Net Income","6.9","-6.4","1.5","11.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.17","0.21","0.24","0.23"
"0","Basic EPS","0.19","-0.19","0.05","0.32"
"1","Basic Weighted Average Shares","34.34","34.34","34.34","34.36"
"1","Basic EPS from Continuing Operations","0.19","-0.19","0.05","0.32"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.19","-0.19","0.05","0.32"
"1","Diluted Weighted Average Shares","34.40","34.35","34.38","34.38"
"1","Diluted EPS from Continuing Operations","0.19","-0.19","0.05","0.32"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
