"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/7/2017","-","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","24.1","27.1","14.2","21.3"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","6.2","7.6","7.4","9.0"
"1","General and Administrative Expense","-","-","7.4","9.0"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","28.9","20.7","22.5","25.6"
"0","Special Income/Charges","0.0","0.1","-","-"
"0","Operating Expenses","35.2","28.3","29.8","34.6"
"0","Operating Income","-11.0","-1.2","-15.6","-13.3"
"0","Net Interest Income","0.8","1.3","1.4","1.5"
"0","Other Income/Expense,Net","0.0","0.1","-0.1","0.1"
"0","Pre-Tax Income","-10.3","0.1","-14.4","-11.7"
"0","Provision for Income Tax","0.0","-0.5","1.1","1.8"
"0","Net Income","-10.2","0.6","-15.5","-13.4"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.01","0.01","0.06"
"0","Basic EPS","-0.28","0.03","-0.40","-0.35"
"1","Basic Weighted Average Shares","36.95","38.40","38.65","38.96"
"1","Basic EPS from Continuing Operations","-0.28","0.03","-0.40","-0.35"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.28","0.03","-0.40","-0.35"
"1","Diluted Weighted Average Shares","36.95","38.40","38.65","38.96"
"1","Diluted EPS from Continuing Operations","-0.28","0.03","-0.40","-0.35"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
