"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/9/2017","3/12/2018","3/12/2018","3/12/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","839.7","825.3","662.1","755.2"
"0","Cost of Revenue","732.1","714.5","574.9","662.7"
"0","Gross Profit","107.7","110.8","87.2","92.6"
"0","Selling,General and Administrative","72.5","71.5","60.5","59.8"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.2","0.2","0.8","1.3"
"0","Operating Expenses","74.0","72.8","61.8","61.1"
"0","Operating Income","33.7","38.0","25.4","31.4"
"0","Net Interest Income","-20.7","-21.4","-19.3","-19.1"
"0","Other Income/Expense,Net","-0.2","0.2","0.8","1.3"
"0","Pre-Tax Income","12.8","16.8","6.8","13.6"
"0","Provision for Income Tax","5.1","9.8","0.0","15.4"
"0","Net Income","7.6","7.1","6.8","-1.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.35","0.40","0.00","0.40"
"0","Basic EPS","0.26","0.24","0.23","-0.06"
"1","Basic Weighted Average Shares","28.93","29.21","29.53","29.94"
"1","Basic EPS from Continuing Operations","0.26","0.24","0.23","-0.06"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","0.26","0.24","0.23","-0.06"
"1","Diluted Weighted Average Shares","29.12","29.40","29.88","29.94"
"1","Diluted EPS from Continuing Operations","0.26","0.24","0.23","-0.06"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
