"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","3/16/2017","3/15/2018","3/15/2018","3/15/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","103.0","160.8","216.6","261.7"
"0","Cost of Revenue","14.7","22.7","30.2","41.8"
"0","Gross Profit","88.3","138.2","186.5","219.9"
"0","Selling,General and Administrative","53.4","83.2","115.9","157.1"
"1","General and Administrative Expense","8.5","17.0","22.1","30.4"
"1","Selling and Marketing Expense","44.9","66.2","93.8","126.7"
"0","Research and Development","14.4","21.7","34.6","42.4"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","67.8","104.9","150.5","199.5"
"0","Operating Income","20.5","33.2","36.0","20.3"
"0","Net Interest Income","-6.0","-1.5","0.2","0.9"
"0","Other Income/Expense,Net","-","-","-","-"
"0","Pre-Tax Income","14.5","31.7","36.2","24.4"
"0","Provision for Income Tax","4.5","5.9","8.1","8.4"
"0","Net Income","10.0","25.8","28.1","16.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.31","0.19","0.22","0.34"
"0","Basic EPS","0.46","0.80","0.83","0.46"
"1","Basic Weighted Average Shares","13.34","32.12","33.74","34.82"
"1","Basic EPS from Continuing Operations","0.46","0.80","0.83","0.46"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","0.34","0.73","0.78","0.44"
"1","Diluted Weighted Average Shares","29.70","35.32","35.84","36.18"
"1","Diluted EPS from Continuing Operations","0.34","0.73","0.78","0.44"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
