"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/27/2017","-","4/26/2018","8/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","8.7","4.9","5.6","5.4"
"0","Cost of Revenue","2.1","2.1","2.2","2.2"
"0","Gross Profit","6.6","2.8","3.4","3.2"
"0","Selling,General and Administrative","6.9","7.5","7.5","7.2"
"1","General and Administrative Expense","2.8","3.0","2.6","2.4"
"1","Selling and Marketing Expense","4.1","4.6","4.9","4.8"
"0","Research and Development","4.1","3.9","3.9","4.1"
"0","Special Income/Charges","0.2","0.2","-","-"
"0","Operating Expenses","11.0","11.5","11.8","11.5"
"0","Operating Income","-4.4","-8.7","-8.4","-8.3"
"0","Net Interest Income","-","-","-","-"
"0","Other Income/Expense,Net","0.2","0.2","0.3","0.3"
"0","Pre-Tax Income","-4.2","-8.5","-8.1","-8.0"
"0","Provision for Income Tax","0.0","-0.1","0.0","0.0"
"0","Net Income","-4.2","-8.4","-8.1","-8.0"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.39","-0.77","-0.72","-0.71"
"1","Basic Weighted Average Shares","10.80","11.05","11.27","11.34"
"1","Basic EPS from Continuing Operations","-0.39","-0.77","-0.72","-0.71"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.39","-0.77","-0.72","-0.71"
"1","Diluted Weighted Average Shares","10.80","11.05","11.27","11.34"
"1","Diluted EPS from Continuing Operations","-0.39","-0.77","-0.72","-0.71"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
