"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/2/2017","-","5/14/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.5","1.4","1.5","1.5"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","6.7","7.4","7.5","4.8"
"1","General and Administrative Expense","-","-","7.5","4.8"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","9.0","9.8","9.9","10.3"
"0","Special Income/Charges","-","-","-","-22.2"
"0","Operating Expenses","15.7","17.2","17.4","15.1"
"0","Operating Income","-15.2","-15.8","-15.9","-13.6"
"0","Net Interest Income","0.2","0.2","0.3","0.2"
"0","Other Income/Expense,Net","-","-","-","-22.2"
"0","Pre-Tax Income","-15.0","-15.6","-15.6","-35.6"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","-15.0","-15.6","-15.6","-35.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.92","-0.90","-0.30","-0.68"
"1","Basic Weighted Average Shares","20.84","25.24","51.72","52.56"
"1","Basic EPS from Continuing Operations","-0.92","-0.90","-0.30","-0.68"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.92","-0.90","-0.30","-0.68"
"1","Diluted Weighted Average Shares","20.84","25.24","51.72","52.56"
"1","Diluted EPS from Continuing Operations","-0.92","-0.90","-0.30","-0.68"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
