"0","Period End Date","1/31/2015","1/31/2016","1/31/2017","1/31/2018"
"0","Stmt Source","40-F","40-F","40-F","40-F"
"0","Stmt Source Date","4/26/2017","4/30/2018","4/30/2018","4/30/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","170.9","185.0","203.8","237.4"
"0","Cost of Revenue","54.9","53.9","56.1","63.7"
"0","Gross Profit","116.0","131.1","147.7","173.7"
"0","Selling,General and Administrative","40.7","44.0","48.0","58.6"
"1","General and Administrative Expense","20.3","21.6","23.1","25.4"
"1","Selling and Marketing Expense","20.4","22.4","24.9","33.1"
"0","Research and Development","28.1","31.3","35.6","41.8"
"0","Special Income/Charges","-2.9","-1.5","-3.5","-4.0"
"0","Operating Expenses","90.5","101.5","113.6","133.9"
"0","Operating Income","25.5","29.6","34.2","39.9"
"0","Net Interest Income","-1.1","-0.5","-0.6","-1.3"
"0","Other Income/Expense,Net","-2.5","-1.3","-2.0","-3.8"
"0","Pre-Tax Income","21.8","27.8","31.5","34.7"
"0","Provision for Income Tax","6.8","7.2","7.7","7.9"
"0","Net Income","15.1","20.6","23.8","26.9"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.31","0.26","0.24","0.23"
"0","Basic EPS","0.21","0.27","0.31","0.35"
"1","Basic Weighted Average Shares","70.56","75.60","75.80","76.32"
"1","Basic EPS from Continuing Operations","0.21","0.27","0.31","0.35"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.21","0.27","0.31","0.35"
"1","Diluted Weighted Average Shares","71.58","76.41","76.52","77.11"
"1","Diluted EPS from Continuing Operations","0.21","0.27","0.31","0.35"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
