"0","Period End Date","1/31/2015","1/30/2016","1/28/2017","2/3/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/20/2017","3/23/2018","3/23/2018","3/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","414.0","442.2","450.3","468.0"
"0","Cost of Revenue","224.0","238.4","245.4","257.6"
"0","Gross Profit","190.0","203.8","204.9","210.4"
"0","Selling,General and Administrative","174.8","180.6","173.3","193.2"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-0.4","-4.1"
"0","Operating Expenses","198.8","208.9","203.5","224.3"
"0","Operating Income","-8.8","-5.1","1.4","-13.9"
"0","Net Interest Income","-2.1","-3.1","-3.1","-3.4"
"0","Other Income/Expense,Net","-","-","-0.4","-4.1"
"0","Pre-Tax Income","-10.9","-8.1","-2.1","-21.4"
"0","Provision for Income Tax","0.2","0.3","0.2","-2.6"
"0","Net Income","-12.3","-8.4","-2.3","-18.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.02","0.03","0.08","0.12"
"0","Basic EPS","-0.25","-0.17","-0.05","-0.39"
"1","Basic Weighted Average Shares","48.74","49.09","49.54","48.89"
"1","Basic EPS from Continuing Operations","-0.23","-0.17","-0.05","-0.39"
"1","Basic EPS,Continuing and Discontinued","-0.02","0.00","0.00","0.00"
"0","Diluted EPS","-0.25","-0.17","-0.05","-0.39"
"1","Diluted Weighted Average Shares","48.74","49.09","49.54","48.89"
"1","Diluted EPS from Continuing Operations","-0.23","-0.17","-0.05","-0.39"
"1","Diluted EPS,Continuing and Discontinued","-0.02","0.00","0.00","0.00"
