"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/23/2017","2/21/2018","2/21/2018","2/21/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,043.4","1,130.0","1,029.3","1,187.0"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","617.9","721.3","652.1","717.6"
"1","General and Administrative Expense","584.6","683.5","616.0","673.9"
"1","Selling and Marketing Expense","33.3","37.9","36.1","43.7"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.1","2.2","14.2","10.8"
"0","Operating Expenses","735.0","847.7","787.7","862.5"
"0","Operating Income","308.5","282.3","241.5","324.5"
"0","Net Interest Income","-166.9","-186.6","-198.4","-204.2"
"0","Other Income/Expense,Net","0.1","2.2","14.2","10.8"
"0","Pre-Tax Income","141.6","97.9","57.4","131.2"
"0","Provision for Income Tax","48.6","27.2","38.2","52.0"
"0","Net Income","103.7","45.1","76.6","83.2"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.35","0.22","0.40","0.40"
"0","Basic EPS","4.01","1.75","2.98","3.20"
"1","Basic Weighted Average Shares","25.85","25.72","25.71","25.97"
"1","Basic EPS from Continuing Operations","3.81","2.66","3.07","3.21"
"1","Basic EPS,Continuing and Discontinued","0.20","-0.91","-0.09","-0.01"
"0","Diluted EPS","3.77","1.69","2.96","3.15"
"1","Diluted Weighted Average Shares","27.50","26.65","25.91","26.41"
"1","Diluted EPS from Continuing Operations","3.58","2.57","3.05","3.16"
"1","Diluted EPS,Continuing and Discontinued","0.19","-0.91","-0.09","-0.01"
