"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2017","3/1/2017","3/27/2018","3/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","38.7","38.8","32.4","31.7"
"0","Cost of Revenue","16.8","16.5","14.3","14.0"
"0","Gross Profit","21.9","22.3","18.1","17.7"
"0","Selling,General and Administrative","22.8","17.1","14.3","12.5"
"1","General and Administrative Expense","13.7","9.2","8.1","7.0"
"1","Selling and Marketing Expense","9.1","7.8","6.2","5.5"
"0","Research and Development","9.5","9.7","8.3","9.3"
"0","Special Income/Charges","-4.8","-9.0","-0.3","-"
"0","Operating Expenses","32.3","26.8","22.5","21.8"
"0","Operating Income","-10.4","-4.6","-4.4","-4.2"
"0","Net Interest Income","-0.2","0.4","0.8","-0.5"
"0","Other Income/Expense,Net","-4.8","-9.0","-0.3","-"
"0","Pre-Tax Income","-15.4","-13.2","-3.9","-4.7"
"0","Provision for Income Tax","0.2","0.1","0.2","0.0"
"0","Net Income","-24.3","-13.2","-4.1","-4.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.01","0.00","0.05","0.00"
"0","Basic EPS","-5.59","-3.00","-0.93","-1.04"
"1","Basic Weighted Average Shares","4.35","4.41","4.43","4.47"
"1","Basic EPS from Continuing Operations","-3.59","-3.00","-0.93","-1.04"
"1","Basic EPS,Continuing and Discontinued","-2.00","0.00","0.00","0.00"
"0","Diluted EPS","-5.59","-3.00","-0.93","-1.04"
"1","Diluted Weighted Average Shares","4.35","4.41","4.43","4.47"
"1","Diluted EPS from Continuing Operations","-3.59","-3.00","-0.93","-1.04"
"1","Diluted EPS,Continuing and Discontinued","-2.00","0.00","0.00","0.00"
