"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/28/2017","4/2/2018","4/2/2018","4/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","29.7","25.6","24.8","28.8"
"0","Cost of Revenue","7.6","6.4","5.3","8.7"
"0","Gross Profit","22.0","19.1","19.5","20.1"
"0","Selling,General and Administrative","9.4","9.8","8.8","11.3"
"1","General and Administrative Expense","3.6","4.0","3.9","6.1"
"1","Selling and Marketing Expense","5.7","5.8","5.0","5.2"
"0","Research and Development","3.6","3.8","3.0","2.0"
"0","Special Income/Charges","-0.2","-0.5","-1.0","-0.3"
"0","Operating Expenses","13.4","14.3","12.9","14.4"
"0","Operating Income","8.7","4.9","6.6","5.7"
"0","Net Interest Income","0.0","-0.1","-0.3","-0.4"
"0","Other Income/Expense,Net","-0.3","-0.5","-1.4","-1.4"
"0","Pre-Tax Income","8.4","4.2","4.9","3.9"
"0","Provision for Income Tax","2.8","0.9","1.5","1.4"
"0","Net Income","5.6","3.3","3.4","2.5"
"0","Dividend Per Share","0.42","0.44","0.22","0.00"
"0","Tax Rate","0.33","0.22","0.30","0.36"
"0","Basic EPS","0.48","0.28","0.29","0.21"
"1","Basic Weighted Average Shares","11.64","11.69","11.85","11.93"
"1","Basic EPS from Continuing Operations","0.48","0.28","0.29","0.21"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","0.47","0.28","0.29","0.21"
"1","Diluted Weighted Average Shares","11.93","11.94","11.96","11.98"
"1","Diluted EPS from Continuing Operations","0.47","0.28","0.29","0.21"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
