"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/2/2017","-","4/26/2018","7/26/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","4,706.0","4,269.0","4,988.0","5,105.0"
"0","Operating Gains/Losses","-","-","-","-"
"1","Gain/Loss on Investment Securities","-","-","-","-"
"0","Depreciation,Amortization and Depletion","772.0","853.0","949.0","1,034.0"
"0","Deferred Taxes","-94.0","-225.0","-47.0","101.0"
"0","Other Non-Cash Items","6.0","6.0","8.0","10.0"
"1","Asset Impairment Charge","-","-","-","-"
"1","Stock-Based Compensation","1,010.0","814.0","955.0","1,186.0"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-458.0","-1,374.0","788.0","-627.0"
"0","Change in Inventories","-","-","-","-"
"0","Change in Pay/Accrued Exp","1.0","337.0","710.0","83.0"
"1","Change in Payables","63.0","123.0","3.0","100.0"
"2","Change In Account Payable","31.0","50.0","1.0","49.0"
"0","Change in Other Current Assets","48.0","24.0","22.0","-81.0"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","16.0","-8.0","-5.0","1.0"
"0","Cash Flow from Operating Activities","6,127.0","7,671.0","7,860.0","6,298.0"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-1,755.0","-2,263.0","-2,812.0","-3,460.0"
"1","Purchase of Property,Plant and Equipment","-1,755.0","-2,263.0","-2,812.0","-3,460.0"
"0","Purchase/Sale of Business,Net","-98.0","-16.0","-49.0","-16.0"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","-1,892.0","-2,717.0","1,575.0","1,092.0"
"1","Purchase of Investments","-6,273.0","-5,272.0","-4,022.0","-4,261.0"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","4,381.0","2,555.0","5,597.0","5,353.0"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","86.0","3.0","-1.0","0.0"
"0","Cash Flow from Investing Activities","-3,659.0","-4,993.0","-1,287.0","-2,384.0"
"0","Issuance/Payments of Debt,Net","-","0.0","-","-"
"1","Issuance/Payments of LT Debt,Net","-","0.0","-","-"
"2","Payments to Settle Long Term Debt","-","0.0","-","-"
"0","Issuance/Payments of Common Stock,Net","-640.0","-958.0","-1,774.0","-3,349.0"
"1","Proceeds or Issuance of Long Term Debt","-","-","-","-"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-640.0","-958.0","-1,774.0","-3,349.0"
"1","Proceeds or Issuance of Common Stock","-","-","-","-"
"0","Cash Dividends Paid","-","-","-","-"
"1","Common Stock Dividends Paid","-","-","-","-"
"0","Other Financing Changes, Net","-891.0","-885.0","-829.0","-922.0"
"0","Cash Flow from Financing Activities","-1,531.0","-1,843.0","-2,603.0","-4,271.0"
"0","Cash, Equivalents, Start of Period","6,402.0","7,201.0","8,204.0","12,210.0"
"0","Cash, Equivalents, End of Period","7,201.0","8,079.0","12,210.0","11,668.0"
"0","Change in Cash","937.0","835.0","3,970.0","-357.0"
"0","Free Cash Flow","4,372.0","5,408.0","5,048.0","2,838.0"
"0","Effect of Exchange Rate Changes","68.0","43.0","36.0","-185.0"
