"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/3/2017","3/8/2018","3/8/2018","3/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","116.5","114.7","104.4","101.9"
"0","Cost of Revenue","42.8","46.6","46.0","50.0"
"0","Gross Profit","73.6","68.1","58.4","52.0"
"0","Selling,General and Administrative","71.3","83.0","93.2","79.5"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","43.4","39.3","38.4","30.8"
"0","Special Income/Charges","-11.6","2.8","-1.2","0.4"
"0","Operating Expenses","114.7","122.2","131.6","110.3"
"0","Operating Income","-41.1","-54.1","-73.2","-58.4"
"0","Net Interest Income","-5.3","-5.8","-5.8","-5.8"
"0","Other Income/Expense,Net","-11.2","5.2","-1.2","0.4"
"0","Pre-Tax Income","-57.7","-54.8","-80.2","-63.8"
"0","Provision for Income Tax","-4.9","-1.5","-4.2","-3.3"
"0","Net Income","-52.8","-53.3","-76.0","-60.5"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.08","0.03","0.05","0.05"
"0","Basic EPS","-1.90","-1.86","-2.62","-1.84"
"1","Basic Weighted Average Shares","27.77","28.71","29.01","32.98"
"1","Basic EPS from Continuing Operations","-1.90","-1.86","-2.62","-1.84"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-1.90","-1.86","-2.62","-1.84"
"1","Diluted Weighted Average Shares","27.77","28.71","29.01","32.98"
"1","Diluted EPS from Continuing Operations","-1.90","-1.86","-2.62","-1.84"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
