"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","4/11/2017","3/9/2018","3/9/2018","3/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","26.4","12.7","9.0","14.4"
"0","Cost of Revenue","14.0","12.7","10.0","11.0"
"0","Gross Profit","12.4","0.0","-0.9","3.4"
"0","Selling,General and Administrative","2.3","2.0","2.2","1.7"
"1","General and Administrative Expense","2.3","2.0","2.2","1.7"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","2.2","-20.3","2.2","0.1"
"0","Operating Expenses","9.4","9.5","8.5","7.5"
"0","Operating Income","3.0","-9.5","-9.5","-4.1"
"0","Net Interest Income","-2.1","-2.8","-2.7","-2.2"
"0","Other Income/Expense,Net","2.3","-20.2","2.3","-0.2"
"0","Pre-Tax Income","3.2","-32.4","-9.8","-6.5"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","3.2","-32.4","-9.8","-6.5"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","1.16","-12.80","-3.77","-0.25"
"1","Basic Weighted Average Shares","2.56","2.57","2.60","25.75"
"1","Basic EPS from Continuing Operations","1.16","-12.80","-3.77","-0.25"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","1.16","-12.80","-3.77","-0.25"
"1","Diluted Weighted Average Shares","2.56","2.57","2.60","25.75"
"1","Diluted EPS from Continuing Operations","1.16","-12.80","-3.77","-0.25"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
