"0","Period End Date","9/26/2017","12/26/2017","3/27/2018","6/26/2018"
"0","Stmt Source","NA","10-Q","10-Q","10-Q"
"0","Stmt Source Date","-","2/9/2018","5/11/2018","8/10/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","22.6","22.8","23.5","26.2"
"0","Cost of Revenue","20.7","20.7","21.1","22.8"
"0","Gross Profit","1.9","2.1","2.4","3.4"
"0","Selling,General and Administrative","2.2","2.4","1.9","2.6"
"1","General and Administrative Expense","1.8","1.9","1.9","2.1"
"1","Selling and Marketing Expense","0.3","0.5","-","0.6"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.2","0.0","-0.1","0.0"
"0","Operating Expenses","2.2","2.4","1.9","2.6"
"0","Operating Income","-0.2","-0.3","0.5","0.8"
"0","Net Interest Income","-0.1","-0.1","-0.1","-0.1"
"0","Other Income/Expense,Net","-0.2","0.0","-0.1","-"
"0","Pre-Tax Income","-0.5","-0.4","0.4","0.7"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","-0.7","-0.6","-0.4","0.3"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.05","-0.05","-0.03","0.02"
"1","Basic Weighted Average Shares","12.39","12.44","12.47","12.47"
"1","Basic EPS from Continuing Operations","-0.05","-0.05","-0.03","0.02"
"1","Basic EPS,Continuing and Discontinued","-","0.00","-","-"
"0","Diluted EPS","-0.05","-0.05","-0.03","0.02"
"1","Diluted Weighted Average Shares","12.39","12.44","12.47","12.67"
"1","Diluted EPS from Continuing Operations","-0.05","-0.05","-0.03","0.02"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","-","-"
