"0","Period End Date","12/30/2014","12/29/2015","12/27/2016","12/26/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/3/2017","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","174.6","230.6","283.8","331.7"
"0","Cost of Revenue","137.3","180.1","223.5","269.3"
"0","Gross Profit","37.3","50.5","60.3","62.4"
"0","Selling,General and Administrative","19.9","27.3","31.7","36.1"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.1","-0.1","-0.1","-57.3"
"0","Operating Expenses","28.4","38.6","46.6","54.9"
"0","Operating Income","8.9","11.9","13.7","7.6"
"0","Net Interest Income","-0.9","0.5","0.6","0.6"
"0","Other Income/Expense,Net","-0.1","-0.1","-0.1","-57.3"
"0","Pre-Tax Income","7.9","11.3","12.9","64.1"
"0","Provision for Income Tax","0.3","2.5","3.6","65.4"
"0","Net Income","0.0","2.8","4.7","-2.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.04","0.22","0.28","0.40"
"0","Basic EPS","0.00","0.22","0.27","-0.14"
"1","Basic Weighted Average Shares","8.97","12.45","17.14","20.29"
"1","Basic EPS from Continuing Operations","0.00","0.22","0.27","-0.14"
"1","Basic EPS,Continuing and Discontinued","-","0.00","0.00","0.00"
"0","Diluted EPS","0.00","0.22","0.27","-0.14"
"1","Diluted Weighted Average Shares","8.97","12.45","17.15","20.29"
"1","Diluted EPS from Continuing Operations","0.00","0.22","0.27","-0.14"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","0.00","0.00"
