"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/7/2017","-","5/10/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3.7","7.9","4.2","4.9"
"0","Cost of Revenue","1.1","1.4","1.1","1.5"
"0","Gross Profit","2.6","6.6","3.0","3.5"
"0","Selling,General and Administrative","4.3","4.6","5.7","4.8"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","3.5","3.6","2.6","2.8"
"0","Special Income/Charges","0.0","0.0","-","-"
"0","Operating Expenses","7.7","8.2","8.2","7.5"
"0","Operating Income","-5.1","-1.7","-5.2","-4.1"
"0","Net Interest Income","-0.3","-0.2","0.0","0.0"
"0","Other Income/Expense,Net","-","0.0","-","-"
"0","Pre-Tax Income","-5.4","-1.9","-5.4","-4.1"
"0","Provision for Income Tax","0.0","0.0","0.0","0.0"
"0","Net Income","-5.4","-1.9","-5.4","-4.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.46","-0.05","-0.22","-0.14"
"1","Basic Weighted Average Shares","11.60","13.01","24.70","28.38"
"1","Basic EPS from Continuing Operations","-0.46","-0.05","-0.22","-0.14"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.46","-0.05","-0.22","-0.14"
"1","Diluted Weighted Average Shares","11.60","13.01","24.70","28.38"
"1","Diluted EPS from Continuing Operations","-0.46","-0.05","-0.22","-0.14"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
