"0","Period End Date","10/31/2014","10/31/2015","10/31/2016","10/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","1/6/2017","1/5/2018","1/5/2018","1/5/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","222.3","219.4","227.3","243.7"
"0","Cost of Revenue","153.7","150.3","156.8","173.1"
"0","Gross Profit","68.6","69.1","70.4","70.6"
"0","Selling,General and Administrative","46.6","45.3","50.8","49.7"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.9","-0.7","-1.3","-0.8"
"0","Operating Expenses","46.6","45.3","50.8","49.7"
"0","Operating Income","22.0","23.8","19.6","20.9"
"0","Net Interest Income","-0.2","-0.1","0.0","-0.1"
"0","Other Income/Expense,Net","-0.5","-0.1","-0.7","-0.1"
"0","Pre-Tax Income","21.4","23.6","18.9","20.7"
"0","Provision for Income Tax","6.2","7.3","5.6","5.6"
"0","Net Income","15.1","16.2","13.3","15.1"
"0","Dividend Per Share","0.26","0.31","0.35","0.39"
"0","Tax Rate","0.29","0.31","0.30","0.27"
"0","Basic EPS","2.31","2.46","2.01","2.27"
"1","Basic Weighted Average Shares","6.50","6.54","6.57","6.62"
"1","Basic EPS from Continuing Operations","2.31","2.46","2.01","2.27"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","2.30","2.44","1.99","2.25"
"1","Diluted Weighted Average Shares","6.54","6.60","6.64","6.68"
"1","Diluted EPS from Continuing Operations","2.30","2.44","1.99","2.25"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
