"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/26/2017","-","4/26/2018","8/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","97.3","205.3","87.4","69.6"
"0","Cost of Revenue","28.7","27.6","26.9","26.5"
"0","Gross Profit","68.7","177.7","60.5","43.1"
"0","Selling,General and Administrative","11.9","13.5","14.2","11.6"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","15.9","18.5","16.2","15.8"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","27.8","32.0","30.4","27.4"
"0","Operating Income","40.9","145.7","30.2","15.7"
"0","Net Interest Income","-2.3","-2.0","-6.3","-4.6"
"0","Other Income/Expense,Net","0.1","0.2","0.0","-0.2"
"0","Pre-Tax Income","38.7","143.9","23.8","10.8"
"0","Provision for Income Tax","4.0","92.3","-4.9","1.1"
"0","Net Income","35.5","52.5","29.9","10.7"
"0","Dividend Per Share","0.30","0.35","0.35","0.35"
"0","Tax Rate","0.10","0.22","0.21","0.10"
"0","Basic EPS","1.02","1.52","0.86","0.31"
"1","Basic Weighted Average Shares","34.71","34.65","34.64","34.77"
"1","Basic EPS from Continuing Operations","1.02","1.52","0.86","0.31"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","1.00","1.47","0.84","0.30"
"1","Diluted Weighted Average Shares","35.39","35.52","35.61","35.63"
"1","Diluted EPS from Continuing Operations","1.00","1.47","0.84","0.30"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
