"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/7/2017","-","5/10/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","57.5","46.5","46.7","49.1"
"0","Cost of Revenue","41.1","29.0","31.2","31.4"
"0","Gross Profit","16.4","17.5","15.5","17.7"
"0","Selling,General and Administrative","13.3","11.8","11.9","11.9"
"1","General and Administrative Expense","7.1","7.2","6.5","6.3"
"1","Selling and Marketing Expense","6.2","4.7","5.4","5.6"
"0","Research and Development","5.1","4.6","5.3","5.6"
"0","Special Income/Charges","-5.2","-0.1","-","-"
"0","Operating Expenses","19.3","17.3","18.1","18.5"
"0","Operating Income","-2.9","0.2","-2.6","-0.8"
"0","Net Interest Income","-5.2","-5.1","-5.1","-5.1"
"0","Other Income/Expense,Net","-5.2","-0.1","0.1","-0.4"
"0","Pre-Tax Income","-13.4","-5.0","-7.6","-6.4"
"0","Provision for Income Tax","0.4","-1.1","0.4","0.3"
"0","Net Income","-13.8","-3.8","-8.1","-6.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.03","0.00","0.00","0.00"
"0","Basic EPS","-0.23","-0.06","-0.13","-0.11"
"1","Basic Weighted Average Shares","59.00","60.40","60.72","61.47"
"1","Basic EPS from Continuing Operations","-0.23","-0.06","-0.13","-0.11"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.23","-0.06","-0.13","-0.11"
"1","Diluted Weighted Average Shares","59.00","60.40","60.72","61.47"
"1","Diluted EPS from Continuing Operations","-0.23","-0.06","-0.13","-0.11"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
