"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2017","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.6","0.1","0.3","0.2"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","10.3","18.2","24.8","23.7"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","21.2","87.7","93.8","79.4"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","31.6","105.9","118.6","103.1"
"0","Operating Income","-31.0","-105.8","-118.3","-102.8"
"0","Net Interest Income","0.3","1.0","2.9","4.0"
"0","Other Income/Expense,Net","-","-","-","-"
"0","Pre-Tax Income","-30.7","-104.8","-115.4","-98.8"
"0","Provision for Income Tax","0.0","0.0","1.1","-1.1"
"0","Net Income","-30.7","-104.8","-116.4","-97.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.01"
"0","Basic EPS","-1.07","-2.91","-2.69","-2.12"
"1","Basic Weighted Average Shares","28.65","36.07","43.24","46.18"
"1","Basic EPS from Continuing Operations","-1.07","-2.91","-2.69","-2.12"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-1.07","-2.91","-2.69","-2.12"
"1","Diluted Weighted Average Shares","28.65","36.07","43.24","46.18"
"1","Diluted EPS from Continuing Operations","-1.07","-2.91","-2.69","-2.12"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
