"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","4/27/2017","4/30/2018","4/30/2018","4/30/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","182.1","175.6","199.6","234.6"
"0","Cost of Revenue","85.0","85.7","97.5","115.3"
"0","Gross Profit","97.1","89.9","102.0","119.4"
"0","Selling,General and Administrative","47.9","47.1","50.3","59.8"
"1","General and Administrative Expense","38.6","37.8","40.2","47.6"
"1","Selling and Marketing Expense","9.3","9.3","10.1","12.2"
"0","Research and Development","2.5","2.4","2.9","3.2"
"0","Special Income/Charges","-0.9","0.1","0.0","0.0"
"0","Operating Expenses","50.4","49.5","53.2","63.0"
"0","Operating Income","46.7","40.4","48.8","56.4"
"0","Net Interest Income","1.7","1.2","2.1","-1.0"
"0","Other Income/Expense,Net","-0.9","0.3","-0.8","0.1"
"0","Pre-Tax Income","47.6","41.8","50.1","55.5"
"0","Provision for Income Tax","14.2","12.8","14.9","17.7"
"0","Net Income","30.4","25.0","32.1","43.8"
"0","Dividend Per Share","0.95","0.62","0.86","1.12"
"0","Tax Rate"
"0","Basic EPS","1.45","1.19","1.53","2.09"
"1","Basic Weighted Average Shares","20.97","20.97","20.97","20.97"
"1","Basic EPS from Continuing Operations","1.45","1.19","1.53","2.09"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","1.45","1.19","1.53","2.09"
"1","Diluted Weighted Average Shares","20.97","20.97","20.97","20.97"
"1","Diluted EPS from Continuing Operations","1.45","1.19","1.53","2.09"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
