"0","Period End Date","9/28/2017","12/28/2017","3/29/2018","6/28/2018"
"0","Stmt Source","10-Q","10-Q","10-Q","NA"
"0","Stmt Source Date","11/2/2017","2/5/2018","5/3/2018","-"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","214.8","259.1","203.2","211.5"
"0","Cost of Revenue","180.0","221.2","170.0","178.6"
"0","Gross Profit","34.8","37.9","33.2","32.9"
"0","Selling,General and Administrative","18.1","8.0","19.4","22.7"
"1","General and Administrative Expense","7.2","8.0","7.8","8.2"
"1","Selling and Marketing Expense","10.9","-","11.6","14.5"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","18.1","8.0","19.4","22.7"
"0","Operating Income","16.7","29.9","13.8","10.2"
"0","Net Interest Income","-0.8","-0.8","-1.0","-0.9"
"0","Other Income/Expense,Net","-0.5","-","-0.5","-0.5"
"0","Pre-Tax Income","15.4","12.7","12.3","8.8"
"0","Provision for Income Tax","5.0","5.0","3.6","3.2"
"0","Net Income","10.4","7.8","8.6","5.6"
"0","Dividend Per Share","0.50","0.00","0.00","0.00"
"0","Tax Rate","0.32","0.39","0.30","0.34"
"0","Basic EPS","0.92","0.68","0.76","0.49"
"1","Basic Weighted Average Shares","11.35","11.38","11.40","11.41"
"1","Basic EPS from Continuing Operations","0.92","0.68","0.76","0.49"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.91","0.68","0.75","0.49"
"1","Diluted Weighted Average Shares","11.44","11.43","11.45","11.48"
"1","Diluted EPS from Continuing Operations","0.91","0.68","0.75","0.49"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
