"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/22/2017","2/23/2018","2/23/2018","2/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,356.1","1,391.9","1,330.6","1,397.5"
"0","Cost of Revenue","1,127.9","1,121.4","1,005.7","1,085.9"
"0","Gross Profit","228.2","270.5","324.9","311.6"
"0","Selling,General and Administrative","57.7","90.5","108.4","102.0"
"1","General and Administrative Expense","57.7","90.5","108.4","102.0"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","-","-11.1","-18.4"
"0","Operating Expenses","90.3","123.0","147.2","142.5"
"0","Operating Income","137.9","147.5","177.7","169.1"
"0","Net Interest Income","-36.5","-23.7","-20.2","-22.0"
"0","Other Income/Expense,Net","5.7","-495.6","-10.3","-14.1"
"0","Pre-Tax Income","107.1","-371.8","147.2","133.0"
"0","Provision for Income Tax","35.3","-135.2","55.5","87.6"
"0","Net Income","71.8","-236.6","91.7","45.4"
"0","Dividend Per Share","1.40","1.60","1.80","2.00"
"0","Tax Rate","0.33","0.36","0.38","0.40"
"0","Basic EPS","4.02","-13.76","5.15","2.67"
"1","Basic Weighted Average Shares","17.82","17.20","17.81","17.00"
"1","Basic EPS from Continuing Operations","4.02","-13.76","5.15","2.67"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","3.86","-13.76","5.09","2.63"
"1","Diluted Weighted Average Shares","18.59","17.20","18.03","17.26"
"1","Diluted EPS from Continuing Operations","3.86","-13.76","5.09","2.63"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
