"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/23/2017","2/22/2018","2/22/2018","2/22/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","285.7","275.8","276.6","305.9"
"0","Cost of Revenue","113.1","106.7","108.5","122.9"
"0","Gross Profit","172.5","169.1","168.1","183.0"
"0","Selling,General and Administrative","174.1","166.1","169.5","178.5"
"1","General and Administrative Expense","83.4","76.0","76.6","80.5"
"1","Selling and Marketing Expense","90.8","90.1","92.9","98.0"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-3.5","-1.1","0.4","6.2"
"0","Operating Expenses","174.1","166.1","169.5","178.5"
"0","Operating Income","-1.6","3.1","-1.5","4.5"
"0","Net Interest Income","-0.8","-0.8","-0.5","-0.6"
"0","Other Income/Expense,Net","-3.5","-1.1","0.4","6.2"
"0","Pre-Tax Income","-5.8","1.2","-1.5","10.1"
"0","Provision for Income Tax","0.2","0.9","0.1","-19.6"
"0","Net Income","-4.4","0.3","-1.6","29.7"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.04","0.40","0.06","0.40"
"0","Basic EPS","-0.50","0.03","-0.19","3.35"
"1","Basic Weighted Average Shares","8.68","8.73","8.78","8.86"
"1","Basic EPS from Continuing Operations","-0.70","0.03","-0.19","3.35"
"1","Basic EPS,Continuing and Discontinued","0.20","0.00","0.00","0.00"
"0","Diluted EPS","-0.50","0.03","-0.19","3.25"
"1","Diluted Weighted Average Shares","8.68","8.88","8.78","9.13"
"1","Diluted EPS from Continuing Operations","-0.70","0.03","-0.19","3.25"
"1","Diluted EPS,Continuing and Discontinued","0.20","0.00","0.00","0.00"
