"0","Period End Date","1/3/2015","1/2/2016","12/31/2016","12/30/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2017","2/28/2018","2/28/2018","2/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","193.3","191.6","284.2","298.1"
"0","Operating Gains/Losses","-","-","-","-12.0"
"1","Gain/Loss on Investment Securities","-","-","-","-"
"0","Depreciation,Amortization and Depletion","41.3","54.1","58.2","69.8"
"0","Deferred Taxes","15.3","1.9","21.4","-14.5"
"0","Other Non-Cash Items","-","-","-","-"
"1","Asset Impairment Charge","-","0.0","0.0","61.1"
"1","Stock-Based Compensation","16.7","15.9","27.9","6.2"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-20.6","17.1","-33.9","26.2"
"0","Change in Inventories","-2.1","7.8","-22.2","-9.7"
"0","Change in Pay/Accrued Exp","-9.7","-33.1","-29.9","-86.6"
"1","Change in Payables","-7.9","-18.0","-7.7","-21.6"
"2","Change In Account Payable","-7.9","-18.0","-7.7","-21.6"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-","-","-","-"
"0","Cash Flow from Operating Activities","233.9","249.6","294.1","304.5"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-13.1","-22.4","-24.8","-40.2"
"1","Purchase of Property,Plant and Equipment","-13.1","-22.4","-24.8","-54.5"
"0","Purchase/Sale of Business,Net","-219.9","-348.6","-210.9","-305.3"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","-","-","-","-"
"1","Purchase of Investments","-","-","-","-"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","-","-","-","-"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-","-","-","-"
"0","Cash Flow from Investing Activities","-233.1","-371.0","-235.7","-345.5"
"0","Issuance/Payments of Debt,Net","27.7","139.2","-29.3","295.7"
"1","Issuance/Payments of LT Debt,Net","27.7","139.2","-29.3","295.7"
"2","Payments to Settle Long Term Debt","0.0","-6.3","-29.3","-1.1"
"0","Issuance/Payments of Common Stock,Net","-44.3","-4.8","-4.4","-239.8"
"1","Proceeds or Issuance of Long Term Debt","27.7","145.5","-","296.8"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-44.3","-4.8","-4.4","-239.8"
"1","Proceeds or Issuance of Common Stock","-","-","-","-"
"0","Cash Dividends Paid","-","-","-","-"
"1","Common Stock Dividends Paid","-","-","-","-"
"0","Other Financing Changes, Net","25.5","2.4","-7.6","-"
"0","Cash Flow from Financing Activities","8.9","136.8","-41.4","55.8"
"0","Cash, Equivalents, Start of Period","36.9","43.9","55.5","68.5"
"0","Cash, Equivalents, End of Period","43.9","55.5","68.5","89.7"
"0","Change in Cash","9.7","15.4","17.0","14.8"
"0","Free Cash Flow","220.7","227.2","269.3","250.0"
"0","Effect of Exchange Rate Changes","-2.7","-3.8","-4.0","6.3"
