"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","6-K","NA","10-Q"
"0","Stmt Source Date","11/8/2017","2/12/2018","-","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","63.1","67.3","73.4","78.4"
"0","Cost of Revenue","16.5","17.7","20.2","21.0"
"0","Gross Profit","46.5","49.5","53.2","57.4"
"0","Selling,General and Administrative","38.8","40.7","42.7","46.4"
"1","General and Administrative Expense","8.6","9.5","10.4","12.2"
"1","Selling and Marketing Expense","30.2","31.2","32.3","34.2"
"0","Research and Development","8.3","10.0","12.2","13.1"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","47.0","50.7","54.9","59.5"
"0","Operating Income","-0.5","-1.1","-1.7","-2.1"
"0","Net Interest Income","0.2","0.2","0.0","-0.1"
"0","Other Income/Expense,Net","-0.7","-0.9","-3.9","-0.4"
"0","Pre-Tax Income","-0.9","-1.7","-5.6","-2.6"
"0","Provision for Income Tax","0.4","0.8","1.0","0.9"
"0","Net Income","-1.3","-2.6","-6.6","-3.5"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.32","0.40","0.28","0.29"
"0","Basic EPS","-0.02","-0.05","-0.12","-0.06"
"1","Basic Weighted Average Shares","57.03","57.51","58.24","59.18"
"1","Basic EPS from Continuing Operations","-0.02","-0.05","-0.12","-0.06"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.02","-0.05","-0.12","-0.06"
"1","Diluted Weighted Average Shares","57.03","57.51","58.24","59.18"
"1","Diluted EPS from Continuing Operations","-0.02","-0.05","-0.12","-0.06"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
