"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/27/2017","-","5/3/2018","7/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","229.9","243.1","243.5","252.4"
"0","Cost of Revenue","90.9","103.4","102.4","99.8"
"0","Gross Profit","139.0","139.7","141.1","152.6"
"0","Selling,General and Administrative","64.4","70.7","70.7","75.4"
"1","General and Administrative Expense","33.3","36.6","32.2","36.0"
"1","Selling and Marketing Expense","31.1","34.1","38.5","39.4"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","-0.8","10.5","0.0"
"0","Operating Expenses","86.2","97.1","93.6","99.0"
"0","Operating Income","52.8","42.6","47.5","53.6"
"0","Net Interest Income","-0.9","-1.0","-0.3","-0.7"
"0","Other Income/Expense,Net","-1.1","0.3","9.6","2.1"
"0","Pre-Tax Income","50.8","41.9","56.8","55.0"
"0","Provision for Income Tax","16.9","2.7","13.4","12.8"
"0","Net Income","33.9","38.9","41.9","41.8"
"0","Dividend Per Share","0.23","0.25","0.25","0.25"
"0","Tax Rate"
"0","Basic EPS","0.80","0.92","0.99","0.98"
"1","Basic Weighted Average Shares","42.50","42.40","42.50","42.60"
"1","Basic EPS from Continuing Operations","0.80","0.92","0.99","0.98"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.79","0.90","0.98","0.97"
"1","Diluted Weighted Average Shares","42.80","42.70","42.90","43.00"
"1","Diluted EPS from Continuing Operations","0.79","0.90","0.98","0.97"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
