"0","Period End Date","6/30/2017","9/30/2017","12/31/2017","3/31/2018"
"0","Stmt Source","NA","10-Q","10-Q","10-Q"
"0","Stmt Source Date","-","11/7/2017","2/6/2018","5/7/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","7.9","7.3","8.3","12.4"
"0","Cost of Revenue","2.4","2.2","2.5","2.6"
"0","Gross Profit","5.5","5.1","5.9","9.8"
"0","Selling,General and Administrative","7.1","6.1","6.3","6.4"
"1","General and Administrative Expense","3.1","2.6","2.4","1.9"
"1","Selling and Marketing Expense","4.0","3.6","3.9","4.4"
"0","Research and Development","0.4","0.9","1.0","1.2"
"0","Special Income/Charges","-","0.4","0.1","-"
"0","Operating Expenses","7.6","7.0","7.3","7.6"
"0","Operating Income","-2.1","-1.9","-1.4","2.2"
"0","Net Interest Income","0.0","0.0","0.0","0.0"
"0","Other Income/Expense,Net","0.9","0.4","0.1","0.0"
"0","Pre-Tax Income","-1.1","-1.5","-1.3","2.2"
"0","Provision for Income Tax","-0.7","-0.3","5.5","0.0"
"0","Net Income","-0.4","-1.2","-6.9","2.2"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.36","0.34","0.40","0.27"
"0","Basic EPS","-0.04","-0.14","-0.76","0.24"
"1","Basic Weighted Average Shares","8.81","8.96","8.98","9.03"
"1","Basic EPS from Continuing Operations","-0.04","-0.14","-0.76","0.24"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-0.04","-0.14","-0.76","0.23"
"1","Diluted Weighted Average Shares","8.81","8.96","8.98","9.55"
"1","Diluted EPS from Continuing Operations","-0.04","-0.14","-0.76","0.23"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
