"0","Period End Date","3/29/2015","3/27/2016","3/26/2017","3/25/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","6/9/2017","6/8/2018","6/8/2018","6/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","99.1","100.4","96.3","104.2"
"0","Cost of Revenue","65.7","57.6","51.6","58.8"
"0","Gross Profit","33.4","42.9","44.6","45.4"
"0","Selling,General and Administrative","12.2","16.7","17.0","17.0"
"1","General and Administrative Expense","-","16.7","17.0","17.0"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.1","-0.1","0.0","-9.7"
"0","Operating Expenses","13.5","17.9","18.3","18.3"
"0","Operating Income","20.0","25.0","26.3","27.1"
"0","Net Interest Income","-0.6","-14.6","-14.6","-13.4"
"0","Other Income/Expense,Net","0.1","0.0","0.1","-9.6"
"0","Pre-Tax Income","19.4","10.4","11.8","4.1"
"0","Provision for Income Tax","7.7","4.3","4.3","1.5"
"0","Net Income","11.7","6.1","7.5","2.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.40","0.40","0.37","0.36"
"0","Basic EPS","2.61","1.38","1.79","0.63"
"1","Basic Weighted Average Shares","4.49","4.43","4.17","4.18"
"1","Basic EPS from Continuing Operations","2.61","1.38","1.79","0.63"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","2.55","1.37","1.78","0.62"
"1","Diluted Weighted Average Shares","4.59","4.46","4.21","4.22"
"1","Diluted EPS from Continuing Operations","2.55","1.37","1.78","0.62"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
