"0","Period End Date","10/31/2017","1/31/2018","4/30/2018","7/31/2018"
"0","Stmt Source","NA","10-Q","10-Q","10-Q"
"0","Stmt Source Date","-","3/5/2018","6/4/2018","9/4/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","573.9","550.4","553.7","581.2"
"0","Cost of Revenue","261.9","249.4","246.9","260.8"
"0","Gross Profit","312.1","301.0","306.8","320.4"
"0","Selling,General and Administrative","184.9","183.3","180.1","184.8"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","184.9","183.3","180.1","184.8"
"0","Operating Income","127.2","117.7","126.7","135.6"
"0","Net Interest Income","-11.4","-11.0","-11.9","-13.4"
"0","Other Income/Expense,Net","-2.9","-3.2","3.3","0.5"
"0","Pre-Tax Income","112.9","103.5","118.1","122.7"
"0","Provision for Income Tax","33.0","-1.0","26.9","27.8"
"0","Net Income","79.8","104.6","91.2","94.9"
"0","Dividend Per Share","0.30","0.30","0.30","0.30"
"0","Tax Rate","0.00","0.28","0.23","0.23"
"0","Basic EPS","1.38","1.81","1.57","1.63"
"1","Basic Weighted Average Shares","57.65","57.76","57.99","58.05"
"1","Basic EPS from Continuing Operations","1.38","1.81","1.57","1.63"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","1.37","1.78","1.55","1.61"
"1","Diluted Weighted Average Shares","58.30","58.87","58.95","58.91"
"1","Diluted EPS from Continuing Operations","1.37","1.78","1.55","1.61"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
