"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/7/2016","3/10/2017","3/6/2018","3/6/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.0","0.0","-","-"
"0","Cost of Revenue","0.0","0.0","-","-"
"0","Gross Profit","0.0","0.0","-","-"
"0","Selling,General and Administrative","5.8","5.2","6.3","7.9"
"1","General and Administrative Expense","5.8","5.2","6.3","7.9"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","3.5","4.2","6.6","4.8"
"0","Special Income/Charges","-","-","0.0","0.0"
"0","Operating Expenses","9.3","9.4","12.9","12.7"
"0","Operating Income","-9.3","-9.4","-12.9","-12.7"
"0","Net Interest Income","0.0","0.0","0.0","0.1"
"0","Other Income/Expense,Net","-","-","-","0.0"
"0","Pre-Tax Income","-9.3","-9.4","-12.9","-12.6"
"0","Provision for Income Tax","0.0","0.0","0.0","0.0"
"0","Net Income","-9.3","-9.4","-12.9","-12.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-15.68","-11.62","-5.68","-1.64"
"1","Basic Weighted Average Shares","0.69","0.84","2.28","7.71"
"1","Basic EPS from Continuing Operations","-15.68","-11.62","-5.68","-1.64"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-15.68","-11.62","-5.68","-1.64"
"1","Diluted Weighted Average Shares","0.69","0.84","2.28","7.71"
"1","Diluted EPS from Continuing Operations","-15.68","-11.62","-5.68","-1.64"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
