"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/14/2017","-","5/15/2018","8/14/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","4.5","4.4","4.9","5.2"
"0","Cost of Revenue","1.7","2.9","1.5","1.7"
"0","Gross Profit","2.8","1.5","3.5","3.5"
"0","Selling,General and Administrative","3.8","4.5","3.5","3.2"
"1","General and Administrative Expense","2.5","2.9","2.0","2.0"
"1","Selling and Marketing Expense","1.3","1.5","1.4","1.2"
"0","Research and Development","0.7","0.7","0.7","0.8"
"0","Special Income/Charges","-0.1","0.1","-","-0.1"
"0","Operating Expenses","4.5","5.2","4.2","4.0"
"0","Operating Income","-1.7","-3.7","-0.7","-0.5"
"0","Net Interest Income","-2.2","-2.1","-0.8","-1.0"
"0","Other Income/Expense,Net","-0.1","1.6","-0.2","0.4"
"0","Pre-Tax Income","-3.9","-4.2","-1.7","-1.1"
"0","Provision for Income Tax","0.1","-1.9","-0.1","-0.1"
"0","Net Income","-4.0","-2.3","-1.6","-1.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.06","0.16","0.16","0.18"
"0","Basic EPS","-0.28","-0.10","-0.07","-0.04"
"1","Basic Weighted Average Shares","14.85","18.18","24.09","24.44"
"1","Basic EPS from Continuing Operations","-0.28","-0.10","-0.07","-0.04"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","-0.28","-0.10","-0.07","-0.04"
"1","Diluted Weighted Average Shares","14.85","18.18","24.09","24.44"
"1","Diluted EPS from Continuing Operations","-0.28","-0.10","-0.07","-0.04"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
