"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/7/2017","-","5/7/2018","8/7/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","873.0","891.1","925.0","1,033.5"
"0","Cost of Revenue","538.5","560.3","578.4","606.2"
"0","Gross Profit","334.5","330.8","346.6","427.3"
"0","Selling,General and Administrative","10.7","12.9","11.1","11.3"
"1","General and Administrative Expense","10.7","12.9","11.1","11.3"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","170.6","187.3","197.3","206.8"
"0","Operating Income","163.9","143.5","149.3","220.5"
"0","Net Interest Income","-0.3","0.0","0.4","0.7"
"0","Other Income/Expense,Net","1.0","0.4","-2.3","0.3"
"0","Pre-Tax Income","164.5","143.9","147.5","221.5"
"0","Provision for Income Tax","62.2","-53.4","38.2","58.0"
"0","Net Income","102.3","197.3","109.3","163.4"
"0","Dividend Per Share","0.10","0.10","0.13","0.13"
"0","Tax Rate","0.38","-0.19","0.26","0.26"
"0","Basic EPS","1.24","2.39","1.33","1.99"
"1","Basic Weighted Average Shares","82.29","82.28","82.25","82.07"
"1","Basic EPS from Continuing Operations","1.24","2.39","1.33","1.99"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","1.24","2.39","1.33","1.99"
"1","Diluted Weighted Average Shares","82.38","82.38","82.36","82.17"
"1","Diluted EPS from Continuing Operations","1.24","2.39","1.33","1.99"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
