"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/28/2016","3/29/2017","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.8","11.5","5.5","0.8"
"0","Cost of Revenue","0.0","-","-","-"
"0","Gross Profit","0.8","-","-","-"
"0","Selling,General and Administrative","15.1","9.5","9.2","7.4"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","49.4","25.9","20.1","19.1"
"0","Special Income/Charges","-0.1","0.0","4.1","1.7"
"0","Operating Expenses","64.5","35.4","29.2","26.5"
"0","Operating Income","-63.7","-24.0","-23.7","-25.7"
"0","Net Interest Income","-","-","-","-"
"0","Other Income/Expense,Net","0.0","0.0","4.1","1.7"
"0","Pre-Tax Income","-63.8","-24.0","-19.7","-24.1"
"0","Provision for Income Tax","0.0","0.0","0.0","0.0"
"0","Net Income","-63.7","-24.0","-19.7","-24.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-29.40","-10.54","-4.44","-2.68"
"1","Basic Weighted Average Shares","2.17","2.27","4.43","9.00"
"1","Basic EPS from Continuing Operations","-29.40","-10.54","-4.44","-2.68"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-29.40","-10.54","-4.44","-2.68"
"1","Diluted Weighted Average Shares","2.17","2.27","4.43","9.00"
"1","Diluted EPS from Continuing Operations","-29.40","-10.54","-4.44","-2.68"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
