"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","NA","10-Q","10-Q","10-Q"
"0","Stmt Source Date","-","2/7/2018","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","101.3","28.7","5.1","3.5"
"0","Cost of Revenue","15.8","5.7","6.7","2.5"
"0","Gross Profit","85.5","22.9","-1.6","1.0"
"0","Selling,General and Administrative","-1.5","4.3","1.1","4.9"
"1","General and Administrative Expense","-1.5","4.3","1.1","4.9"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","1.4","-","-"
"0","Operating Expenses","-1.5","4.3","1.1","4.9"
"0","Operating Income","87.0","18.6","-2.7","-3.9"
"0","Net Interest Income","-79.5","-5.9","16.1","15.7"
"0","Other Income/Expense,Net","-1.4","-0.4","-7.4","5.1"
"0","Pre-Tax Income","6.1","12.3","6.0","16.9"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","7.4","12.3","6.0","16.9"
"0","Dividend Per Share","0.18","0.18","0.18","0.18"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","0.10","0.18","0.08","0.24"
"1","Basic Weighted Average Shares","71.06","71.06","71.06","70.85"
"1","Basic EPS from Continuing Operations","0.10","0.18","0.08","0.24"
"1","Basic EPS,Continuing and Discontinued","-","0.00","-","-"
"0","Diluted EPS","0.10","0.17","0.08","0.24"
"1","Diluted Weighted Average Shares","71.06","71.06","71.06","70.85"
"1","Diluted EPS from Continuing Operations","0.10","0.17","0.08","0.24"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","-","-"
