"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/28/2017","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","456.7","473.6","487.0","485.3"
"0","Cost of Revenue","307.4","318.4","335.7","323.7"
"0","Gross Profit","149.3","155.2","151.3","161.5"
"0","Selling,General and Administrative","90.2","100.0","101.3","108.2"
"1","General and Administrative Expense","90.2","100.0","101.3","108.2"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-3.4","-1.2","-1.3","-1.4"
"0","Operating Expenses","106.9","118.7","117.8","131.2"
"0","Operating Income","42.4","36.5","33.5","30.3"
"0","Net Interest Income","-1.4","-2.1","-1.6","-1.8"
"0","Other Income/Expense,Net","-3.5","-1.6","-1.3","-1.4"
"0","Pre-Tax Income","37.5","32.8","30.5","27.1"
"0","Provision for Income Tax","14.4","9.8","10.1","8.6"
"0","Net Income","23.2","23.0","20.5","18.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.38","0.30","0.33","0.32"
"0","Basic EPS","0.73","0.69","0.60","0.56"
"1","Basic Weighted Average Shares","31.70","33.41","34.02","33.02"
"1","Basic EPS from Continuing Operations","0.73","0.69","0.60","0.56"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.70","0.67","0.58","0.55"
"1","Diluted Weighted Average Shares","33.16","34.32","35.00","34.07"
"1","Diluted EPS from Continuing Operations","0.70","0.67","0.58","0.55"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
