"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/14/2017","-","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1.6","1.6","0.9","0.8"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","2.7","2.8","3.8","4.0"
"1","General and Administrative Expense","-","-","3.8","4.0"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","12.9","12.3","8.4","12.6"
"0","Special Income/Charges","0.0","0.0","-","-"
"0","Operating Expenses","15.6","15.1","12.2","16.6"
"0","Operating Income","-14.1","-13.5","-11.3","-15.7"
"0","Net Interest Income","0.2","0.1","0.2","0.2"
"0","Other Income/Expense,Net","0.0","0.0","0.1","0.0"
"0","Pre-Tax Income","-14.0","-13.4","-11.0","-15.5"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","-14.0","-13.4","-11.0","-15.5"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.56","-0.50","-0.32","-0.43"
"1","Basic Weighted Average Shares","25.09","26.48","34.47","36.01"
"1","Basic EPS from Continuing Operations","-0.56","-0.50","-0.32","-0.43"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.56","-0.50","-0.32","-0.43"
"1","Diluted Weighted Average Shares","25.09","26.48","34.47","36.01"
"1","Diluted EPS from Continuing Operations","-0.56","-0.50","-0.32","-0.43"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
