"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","6-K"
"0","Stmt Source Date","3/27/2017","3/28/2018","3/28/2018","5/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","21.6","14.1","12.8","26.2"
"0","Cost of Revenue","15.3","11.7","11.4","17.9"
"0","Gross Profit","6.3","2.4","1.4","8.3"
"0","Selling,General and Administrative","4.1","3.9","4.1","4.7"
"1","General and Administrative Expense","1.7","1.5","1.8","2.6"
"1","Selling and Marketing Expense","2.4","2.4","2.3","2.1"
"0","Research and Development","0.8","0.7","0.8","1.6"
"0","Special Income/Charges","0.0","-0.6","0.0","-"
"0","Operating Expenses","4.8","4.6","4.8","6.3"
"0","Operating Income","1.5","-2.2","-3.4","2.0"
"0","Net Interest Income","-1.3","-0.9","-0.4","-0.1"
"0","Other Income/Expense,Net","-","-3.3","-1.1","-0.1"
"0","Pre-Tax Income","0.2","-6.3","-4.9","1.8"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","0.2","-6.5","-4.9","2.2"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","0.04","-1.06","-0.35","0.09"
"1","Basic Weighted Average Shares","4.47","5.95","14.03","24.96"
"1","Basic EPS from Continuing Operations","0.06","-1.06","-0.35","0.07"
"1","Basic EPS,Continuing and Discontinued","-0.02","0.00","0.00","0.02"
"0","Diluted EPS","0.04","-1.06","-0.35","0.08"
"1","Diluted Weighted Average Shares","4.47","5.95","14.03","28.13"
"1","Diluted EPS from Continuing Operations","0.06","-1.06","-0.35","0.06"
"1","Diluted EPS,Continuing and Discontinued","-0.02","0.00","0.00","0.02"
