"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/4/2018","8/7/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","627.0","577.3","689.3","580.2"
"0","Cost of Revenue","612.2","555.9","439.7","522.5"
"0","Gross Profit","14.8","21.4","249.6","57.6"
"0","Selling,General and Administrative","25.9","21.8","31.7","24.5"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","3.8","3.6","6.6","2.5"
"0","Special Income/Charges","8.1","-41.4","-0.2","2.3"
"0","Operating Expenses","29.6","25.4","38.3","27.0"
"0","Operating Income","-14.8","-4.0","211.3","30.6"
"0","Net Interest Income","-4.7","-5.0","-4.7","-4.9"
"0","Other Income/Expense,Net","8.1","-41.4","6.5","12.0"
"0","Pre-Tax Income","-11.5","-50.4","213.2","37.7"
"0","Provision for Income Tax","-0.1","-33.4","-1.2","3.8"
"0","Net Income","-11.4","-17.0","214.4","33.9"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.18","0.28","0.28","0.16"
"0","Basic EPS","-0.29","-0.43","5.39","0.88"
"1","Basic Weighted Average Shares","38.77","38.87","38.82","37.41"
"1","Basic EPS from Continuing Operations","-0.29","-0.43","5.39","0.88"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.29","-0.43","5.30","0.78"
"1","Diluted Weighted Average Shares","38.77","38.87","39.48","42.08"
"1","Diluted EPS from Continuing Operations","-0.29","-0.43","5.30","0.78"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
