"0","Period End Date","6/30/2015","6/30/2016","6/30/2017","6/30/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","8/10/2017","8/9/2018","8/9/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","278.0","359.8","440.8","459.0"
"0","Cost of Revenue","132.4","216.1","248.7","249.8"
"0","Gross Profit","145.6","143.7","192.2","209.2"
"0","Selling,General and Administrative","24.9","31.7","33.4","35.5"
"1","General and Administrative Expense","24.9","31.7","33.4","35.5"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-31.3","-98.6","0.0","-239.4"
"0","Operating Expenses","27.1","40.3","46.2","44.4"
"0","Operating Income","118.6","103.4","145.9","164.8"
"0","Net Interest Income","-24.8","-28.9","-27.1","-30.0"
"0","Other Income/Expense,Net","-31.5","-96.2","-","-239.4"
"0","Pre-Tax Income","62.2","-21.8","118.9","-104.6"
"0","Provision for Income Tax","9.6","60.7","26.4","14.8"
"0","Net Income","52.0","-77.1","101.5","-113.1"
"0","Dividend Per Share","0.87","0.91","0.95","0.99"
"0","Tax Rate","0.15","2.79","0.22","0.14"
"0","Basic EPS","0.80","-1.18","1.55","-1.73"
"1","Basic Weighted Average Shares","65.01","65.07","65.15","65.29"
"1","Basic EPS from Continuing Operations","0.80","-1.18","1.55","-1.73"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.80","-1.18","1.55","-1.73"
"1","Diluted Weighted Average Shares","65.13","65.07","65.28","65.29"
"1","Diluted EPS from Continuing Operations","0.80","-1.18","1.55","-1.73"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
