"0","Period End Date","3/1/2015","2/29/2016","2/28/2017","2/28/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","5/23/2017","5/15/2018","5/15/2018","5/15/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","41.5","40.5","38.3","38.1"
"0","Cost of Revenue","22.9","23.3","22.8","23.3"
"0","Gross Profit","18.6","17.1","15.5","14.8"
"0","Selling,General and Administrative","7.3","7.1","6.7","6.4"
"1","General and Administrative Expense","4.8","4.7","4.0","3.9"
"1","Selling and Marketing Expense","2.5","2.5","2.7","2.5"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.8","-2.3","-0.1","0.0"
"0","Operating Expenses","11.9","11.1","9.9","9.6"
"0","Operating Income","6.8","6.0","5.6","5.2"
"0","Net Interest Income","-0.2","-0.2","-0.1","-0.1"
"0","Other Income/Expense,Net","-0.8","-2.3","-0.1","-"
"0","Pre-Tax Income","5.8","3.5","5.4","5.1"
"0","Provision for Income Tax","2.0","-0.3","1.9","2.2"
"0","Net Income","3.9","4.4","3.5","3.0"
"0","Dividend Per Share","0.45","0.48","0.48","0.48"
"0","Tax Rate","0.35","0.07","0.36","0.27"
"0","Basic EPS","0.64","0.75","0.59","0.50"
"1","Basic Weighted Average Shares","6.14","5.89","5.84","5.88"
"1","Basic EPS from Continuing Operations","0.64","0.75","0.59","0.50"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.61","0.73","0.58","0.50"
"1","Diluted Weighted Average Shares","6.41","6.10","5.99","5.98"
"1","Diluted EPS from Continuing Operations","0.61","0.73","0.58","0.50"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
