"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/24/2017","2/22/2018","2/22/2018","2/22/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","0.0","0.0","0.0","0.0"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","8.1","22.3","34.3","56.6"
"1","General and Administrative Expense","7.2","19.3","29.0","45.4"
"1","Selling and Marketing Expense","0.9","3.1","5.3","11.2"
"0","Research and Development","24.1","69.4","120.8","210.3"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","33.8","94.7","160.2","273.2"
"0","Operating Income","-33.8","-94.7","-160.2","-273.2"
"0","Net Interest Income","0.0","0.2","1.2","3.1"
"0","Other Income/Expense,Net","0.0","0.0","0.0","-0.1"
"0","Pre-Tax Income","-33.8","-94.5","-159.0","-270.1"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","-33.8","-94.5","-159.0","-270.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-1.67","-3.40","-4.75","-7.09"
"1","Basic Weighted Average Shares","21.57","27.78","33.49","38.11"
"1","Basic EPS from Continuing Operations","-1.67","-3.40","-4.75","-7.09"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-1.67","-3.40","-4.75","-7.09"
"1","Diluted Weighted Average Shares","21.57","27.78","33.49","38.11"
"1","Diluted EPS from Continuing Operations","-1.67","-3.40","-4.75","-7.09"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
