"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","10-Q","10-Q"
"0","Stmt Source Date","11/14/2017","-","5/10/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","2.5","3.0","3.9","4.3"
"0","Cost of Revenue","0.6","0.5","0.7","0.8"
"0","Gross Profit","1.9","2.5","3.2","3.5"
"0","Selling,General and Administrative","8.5","10.2","12.4","15.2"
"1","General and Administrative Expense","-","-","12.4","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","4.5","25.9","4.9","5.5"
"0","Special Income/Charges","-24.2","20.8","-0.5","0.0"
"0","Operating Expenses","14.2","37.4","19.0","22.5"
"0","Operating Income","-12.3","-34.9","-15.8","-19.0"
"0","Net Interest Income","-1.4","-1.5","-2.9","-3.3"
"0","Other Income/Expense,Net","-22.2","18.7","-10.0","19.4"
"0","Pre-Tax Income","-35.9","-17.6","-28.7","-2.9"
"0","Provision for Income Tax","-0.9","1.1","0.0","0.0"
"0","Net Income","-35.1","-18.7","-28.7","-2.9"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.02","0.00","0.00"
"0","Basic EPS","-0.98","-0.44","-0.66","-0.06"
"1","Basic Weighted Average Shares","35.72","39.79","43.62","45.83"
"1","Basic EPS from Continuing Operations","-0.98","-0.44","-0.66","-0.06"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.98","-0.44","-0.66","-0.43"
"1","Diluted Weighted Average Shares","35.72","39.79","43.62","50.44"
"1","Diluted EPS from Continuing Operations","-0.98","-0.44","-0.66","-0.43"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
