"0","Period End Date","4/30/2015","4/30/2016","4/30/2017","4/30/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","7/29/2016","7/24/2017","7/24/2018","7/24/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","230.2","253.9","253.4","278.1"
"0","Cost of Revenue","208.2","228.4","228.2","251.5"
"0","Gross Profit","22.1","25.5","25.2","26.6"
"0","Selling,General and Administrative","19.4","21.2","21.9","23.1"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.1","0.2","0.0","-6.4"
"0","Operating Expenses","19.4","21.2","21.9","23.1"
"0","Operating Income","2.6","4.3","3.3","3.5"
"0","Net Interest Income","-1.1","-1.0","-1.1","-1.5"
"0","Other Income/Expense,Net","0.1","0.2","0.4","-6.3"
"0","Pre-Tax Income","1.7","3.5","2.5","-4.3"
"0","Provision for Income Tax","0.8","1.4","1.1","-1.1"
"0","Net Income","0.9","2.1","1.4","-3.2"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.40","0.40","0.40","0.25"
"0","Basic EPS","0.22","0.50","0.33","-0.77"
"1","Basic Weighted Average Shares","4.05","4.16","4.19","4.21"
"1","Basic EPS from Continuing Operations","0.22","0.50","0.33","-0.77"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.22","0.49","0.33","-0.77"
"1","Diluted Weighted Average Shares","4.12","4.22","4.21","4.21"
"1","Diluted EPS from Continuing Operations","0.22","0.49","0.33","-0.77"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
